physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
90025135 - ASIAN HOSPITAL AND MEDICAL CENTER,90025135,ASIAN HOSPITAL AND MEDICAL CENTER,JUAN RAFAEL MARZAN AGUILAR,Internal Medicine,74,291,2463339.47,33288.37,62,0.84,3.1,192,11434.67,2195456.6,29668.33,2,0.03,1,2,82591.22,165182.44,2232.2,43,0.58,2.26,97,1058.77,102700.43,1387.84,43880,592.97
542 - MARIKINA VALLEY MEDICAL CENTER INC.,542,MARIKINA VALLEY MEDICAL CENTER INC.,BENJAMIN EDSEL V. MALAYA,Gastroenterology,10,35,332166.49,33216.65,9,0.9,2,18,7339.27,132106.89,13210.69,1,0.1,1,1,187256.95,187256.95,18725.7,9,0.9,1.78,16,800.17,12802.65,1280.27,31150,3115
90014941 - MAKATI MEDICAL CENTER,90014941,MAKATI MEDICAL CENTER,RONA MARIE LONGANILLA LEONOR,Cardiology,92,429,3021195.75,32839.08,61,0.66,2.52,154,9519.93,1466068.45,15935.53,7,0.08,1,7,170890.14,1196230.95,13002.51,91,0.99,2.95,268,1339.17,358896.35,3901.05,161175,1751.9
90004522 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90004522,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,RODNEY MONTESINO JIMENEZ,Interventional Cardiology,7,24,228997.93,32713.99,7,1,3.29,23,9932.52,228447.93,32635.42,0,0,0,0,0,0,0,1,0.14,1,1,550,550,78.57,0,0
90008506 - CARDINAL SANTOS MEDICAL CENTER,90008506,CARDINAL SANTOS MEDICAL CENTER,LOURDES ELLA G. SANTOS,Cardiology,16,69,520910.09,32556.88,16,1,3.94,63,8109.18,510878.09,31929.88,0,0,0,0,0,0,0,4,0.25,1.5,6,1672,10032,627,16640,1040
9221 - MANILA DOCTORS HOSPITAL,9221,MANILA DOCTORS HOSPITAL,JUSTO MARINO C. CAMMAYO,Cardiology,43,425,1379453.26,32080.31,39,0.91,6.31,246,3788.51,931973.64,21673.81,3,0.07,1,3,103853.8,311561.41,7245.61,43,1,4.09,176,772.26,135918.21,3160.89,41270,959.77
90021073 - CARDINAL SANTOS MEDICAL CENTER,90021073,CARDINAL SANTOS MEDICAL CENTER,PIERRE ALBERT AMA ALORA,Cardiology,44,204,1410143.94,32048.73,29,0.66,3.55,103,5609.81,577810.29,13132.05,2,0.05,1,2,368000,736000,16727.27,41,0.93,2.41,99,973.07,96333.65,2189.4,40500,920.45
24711 - MAKATI MEDICAL CENTER,24711,MAKATI MEDICAL CENTER,MA. TERESA ANCIANO TORRES,Cardiology,119,819,3796664.75,31904.75,88,0.74,4.16,366,7557.13,2765909.6,23242.94,6,0.05,1,6,100696.81,604180.87,5077.15,115,0.97,3.89,447,954.3,426574.28,3584.66,237089.6,1992.35
5978 - MAKATI MEDICAL CENTER,5978,MAKATI MEDICAL CENTER,PRUDENCIO DOLORES DY,Internal Medicine,248,1654,7908735.22,31890.06,199,0.8,3.8,757,7418.25,5615616.93,22643.62,8,0.03,1,8,159925.52,1279404.18,5158.89,244,0.98,3.64,889,1140.29,1013714.11,4087.56,383454,1546.19
90020116 - SAN MATEO MEDICAL CENTER,90020116,SAN MATEO MEDICAL CENTER,MARIA FE FRIAL BAUTISTA,Nephrology,9,45,286458.13,31828.68,5,0.56,3.2,16,4638.01,74208.13,8245.35,1,0.11,1,1,197000,197000,21888.89,9,1,3.11,28,544.64,15250,1694.44,29680,3297.78
90025415 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90025415,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,ALINAYA AURELIO CORDERO,Cardiology,20,106,634669.51,31733.48,15,0.75,3,45,5279.06,237557.9,11877.9,4,0.2,1.25,5,56657.72,283288.6,14164.43,18,0.9,3.11,56,2032.55,113823.01,5691.15,31290,1564.5
"90011106 - MEDICAL CENTER MANILA, INC.",90011106,"MEDICAL CENTER MANILA, INC.",MARIEL ITOM BARCELON-CRUZ,Cardiology,24,241,761535.77,31730.66,20,0.83,5.8,116,4709.91,546349.68,22764.57,2,0.08,1,2,34344.52,68689.04,2862.04,24,1,5.13,123,1191.03,146497.05,6104.04,43540,1814.17
6081 - MAKATI MEDICAL CENTER,6081,MAKATI MEDICAL CENTER,JIMMY B. ARAGON,Endocrinology,9,50,285073.4,31674.82,8,0.89,4.38,35,7488.78,262107.4,29123.04,0,0,0,0,0,0,0,5,0.56,3,15,1531.07,22966,2551.78,0,0
13131 - MAKATI MEDICAL CENTER,13131,MAKATI MEDICAL CENTER,JOSIERINA Y. SARMIENTO,Internal Medicine,15,153,474251.15,31616.74,13,0.87,5.54,72,5974.38,430155.15,28677.01,0,0,0,0,0,0,0,15,1,5.4,81,544.4,44096,2939.73,7400,493.33
90028275 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90028275,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,CRISTALLE GERALDINE CHUA DY,Cardiology,8,47,252345,31543.13,5,0.63,3,15,6945.88,104188.15,13023.52,1,0.13,1,1,117061.95,117061.95,14632.74,8,1,3.88,31,1003.06,31094.9,3886.86,24180,3022.5
90023839 - DILIMAN DOCTORS HOSPITAL INC.,90023839,DILIMAN DOCTORS HOSPITAL INC.,JOSE BERNARDO AQUINO CALATRAVA,Cardiology,45,234,1417806.53,31506.81,29,0.64,3.93,114,7138.24,813759.09,18083.54,3,0.07,1.33,4,119756.93,479027.7,10645.06,40,0.89,2.9,116,1077.76,125019.74,2778.22,104789.05,2328.65
8716 - MAKATI MEDICAL CENTER,8716,MAKATI MEDICAL CENTER,CLAVEL MARANAN MACALINTAL,Cardiology,53,286,1666082.75,31435.52,39,0.74,3.74,146,9625.02,1405252.68,26514.2,1,0.02,2,2,78278.61,156557.22,2953.91,48,0.91,2.88,138,755.6,104272.85,1967.41,74300,1401.89
90026981 - DILIMAN DOCTORS HOSPITAL INC.,90026981,DILIMAN DOCTORS HOSPITAL INC.,LISA ANGELICA EVANGELISTA KUHN,Internal Medicine,12,74,376283.87,31356.99,11,0.92,2.91,32,9928.76,317720.29,26476.69,0,0,0,0,0,0,0,11,0.92,3.82,42,1394.37,58563.58,4880.3,16620,1385
90029044 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029044,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,CO-NEIL REBANAL RELATO,Cardiology,65,321,2034204.51,31295.45,48,0.74,2.65,127,11472.21,1456970.92,22414.94,2,0.03,1,2,185872.39,371744.77,5719.15,60,0.92,3.2,192,1070.25,205488.82,3161.37,109988,1692.12
90019013 - MAKATI MEDICAL CENTER,90019013,MAKATI MEDICAL CENTER,PAUL CONDES QUETUA,Cardiology,7,33,219004.9,31286.41,6,0.86,3.33,20,10409.31,208186.15,29740.88,0,0,0,0,0,0,0,4,0.57,3.25,13,832.21,10818.75,1545.54,5500,785.71
90010275 - OUR LADY OF LOURDES HOSPITAL-MANILA,90010275,OUR LADY OF LOURDES HOSPITAL-MANILA,SHARON ROBLES MANZANILLA,Cardiology,29,215,903629.72,31159.65,24,0.83,3.38,81,5230.63,423681.41,14609.7,4,0.14,1.25,5,73682.86,368414.28,12703.94,28,0.97,4.61,129,864.6,111534.03,3846,518449.92,17877.58
90010855 - MANILA DOCTORS HOSPITAL,90010855,MANILA DOCTORS HOSPITAL,MAIDENLOVE RAGUERO PANER,Cardiology,30,235,930320.67,31010.69,21,0.7,5.81,122,6416.52,782815.25,26093.84,0,0,0,0,0,0,0,30,1,3.77,113,1305.36,147505.42,4916.85,18180,606
"90021232 - MANILA EAST MEDICAL CENTER, INC.",90021232,"MANILA EAST MEDICAL CENTER, INC.",FRANCIS CARL DE LEON CATALAN,Interventional Cardiology,72,457,2228616.58,30953.01,55,0.76,4.05,223,7564.85,1686960.73,23430.01,3,0.04,1.33,4,81401.77,325607.08,4522.32,72,1,3.19,230,939.34,216048.77,3000.68,77050,1070.14
90025447 - MAKATI MEDICAL CENTER,90025447,MAKATI MEDICAL CENTER,JOSE-ERNESTO BLANCADA ADEA,Cardiology,9,27,278480,30942.22,4,0.44,2.75,11,9161.82,100780,11197.78,2,0.22,1,2,84934,169868,18874.22,8,0.89,1.75,14,559.43,7832,870.22,46670,5185.56
90023979 - CARDINAL SANTOS MEDICAL CENTER,90023979,CARDINAL SANTOS MEDICAL CENTER,AARON JAMES POBLETE TAN,Cardiology,26,153,802538.42,30866.86,22,0.85,4.32,95,8034.77,763303.09,29357.81,0,0,0,0,0,0,0,20,0.77,2.9,58,676.47,39235.33,1509.05,15870,610.38
90019816 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90019816,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,MARLON BAUTISTA MANICAD,Cardiology,100,609,3077523.94,30775.24,90,0.9,3.18,286,8199.07,2344933.15,23449.33,4,0.04,1,4,118051.62,472206.46,4722.06,98,0.98,3.26,319,816.25,260384.33,2603.84,104880,1048.8
90014941 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90014941,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,RONA MARIE LONGANILLA LEONOR,Cardiology,30,165,922851.23,30761.71,20,0.67,4,80,9655.73,772458.61,25748.62,1,0.03,1,1,50001.85,50001.85,1666.73,30,1,2.8,84,1195.13,100390.77,3346.36,38140,1271.33
19451 - MAKATI MEDICAL CENTER,19451,MAKATI MEDICAL CENTER,JUAN DIONISIO MARCELINO REYES FORONDA,Cardiology,84,423,2577608.4,30685.81,59,0.7,3.53,208,9051.17,1882644.06,22412.43,4,0.05,1,4,129086.71,516346.84,6146.99,76,0.9,2.78,211,846.53,178617.5,2126.4,140190,1668.93
90013686 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90013686,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FEDERICK CO CHENG,Cardiology,11,29,336215.66,30565.06,7,0.64,2.43,17,13863.4,235677.78,21425.25,1,0.09,1,1,93225.88,93225.88,8475.08,7,0.64,1.57,11,664.73,7312,664.73,19920,1810.91
90008255 - OUR LADY OF LOURDES HOSPITAL-MANILA,90008255,OUR LADY OF LOURDES HOSPITAL-MANILA,MARLOU ILAGAN MENDOZA,Interventional Cardiology,11,103,335383.78,30489.43,9,0.82,3.78,34,7661.29,260483.75,23680.34,0,0,0,0,0,0,0,11,1,6.27,69,1085.51,74900.03,6809.09,20130,1830
1759 - ST. LUKE'S MEDICAL CENTER-QC,1759,ST. LUKE'S MEDICAL CENTER-QC,RAMON ACEVEDO REYES,Cardiology,78,526,2370438.07,30390.23,58,0.74,4.26,247,7220.73,1783519.69,22865.64,3,0.04,1,3,96443.67,289331,3709.37,75,0.96,3.68,276,1078.22,297587.38,3815.22,91000,1166.67
1785 - ST. LUKE'S MEDICAL CENTER-QC,1785,ST. LUKE'S MEDICAL CENTER-QC,MA. LUISA BANDA AFABLE,Cardiology,16,87,486016.58,30376.04,8,0.5,3.88,31,7694.83,238539.84,14908.74,1,0.06,1,1,147390.23,147390.23,9211.89,16,1,3.44,55,1819.75,100086.51,6255.41,17800,1112.5
9826 - CARDINAL SANTOS MEDICAL CENTER,9826,CARDINAL SANTOS MEDICAL CENTER,ERWIN DEREZ DIZON,Cardiology,26,108,788045.93,30309.46,21,0.81,2.81,59,5988.56,353325.04,13589.42,4,0.15,1.25,5,81514.58,407572.89,15675.88,22,0.85,2,44,617,27148,1044.15,37271,1433.5
90018235 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90018235,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARYGRACE TAMAYO GARCIA,Internal Medicine,49,222,1482219.88,30249.39,40,0.82,2.63,105,5668.84,595227.8,12147.51,7,0.14,1,7,110525.98,773681.83,15789.43,38,0.78,2.89,110,1030.09,113310.25,2312.45,223498.83,4561.2
90014383 - THE MEDICAL CITY,90014383,THE MEDICAL CITY,ANA BEATRIZ DELOS REYES MEDRANO,Cardiology,33,139,991930.17,30058.49,33,1,2.85,94,8841.49,831099.9,25184.85,2,0.06,1,2,45000,90000,2727.27,15,0.45,2.87,43,1647.22,70830.27,2146.37,29220,885.45
28443 - MANILA DOCTORS HOSPITAL,28443,MANILA DOCTORS HOSPITAL,JESSORE IBABAO ISIDRO,Interventional Cardiology,20,141,600849.07,30042.45,14,0.7,4.71,66,5536.31,365396.67,18269.83,1,0.05,1,1,185900,185900,9295,17,0.85,4.35,74,669.63,49552.4,2477.62,42720,2136
17802 - THE MEDICAL CITY,17802,THE MEDICAL CITY,GINA VILLARAMA ALEMANY,Cardiology,102,556,3058038.95,29980.77,65,0.64,4.48,291,5904.4,1718180.28,16844.9,9,0.09,1.33,12,74349.29,892191.43,8746.97,90,0.88,2.81,253,1769.44,447667.24,4388.89,141651,1388.74
90017397 - ASIAN HOSPITAL AND MEDICAL CENTER,90017397,ASIAN HOSPITAL AND MEDICAL CENTER,MICHAEL JOSEPH TANJUAQUIO REYES,Cardiology,61,307,1827852.89,29964.8,37,0.61,3.81,141,7951.85,1121211.05,18380.51,7,0.11,1,7,73849.55,516946.82,8474.54,57,0.93,2.79,159,1193.05,189695.02,3109.75,98000,1606.56
34303 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,34303,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,GARI TOLENTINO RECODO,Internal Medicine,17,106,509199.75,29952.93,16,0.94,3.06,49,6301.11,308754.52,18162.03,2,0.12,1,2,85372.62,170745.23,10043.84,16,0.94,3.44,55,540,29700,1747.06,38200,2247.06
90017357 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90017357,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARIA CHRISTIE MENDOZA REYES,Internal Medicine,28,216,832531.32,29733.26,21,0.75,3.81,80,4983.5,398679.72,14238.56,3,0.11,1.33,4,72360.14,289440.56,10337.16,27,0.96,4.89,132,1094.02,144411.04,5157.54,64910,2318.21
473 - ST. LUKE'S MEDICAL CENTER-QC,473,ST. LUKE'S MEDICAL CENTER-QC,MARY LOU S. CERA-GARCIA,Nephrology,37,211,1093240.18,29547.03,30,0.81,4.2,126,7738.32,975027.87,26352.1,1,0.03,1,1,29097.12,29097.12,786.41,32,0.86,2.63,84,1060.9,89115.19,2408.52,60850,1644.59
90016686 - ASIAN HOSPITAL AND MEDICAL CENTER,90016686,ASIAN HOSPITAL AND MEDICAL CENTER,MARY CHERYL LARONA BAUTISTA,Cardiology,23,125,679285.65,29534.16,19,0.83,2.74,52,10199.46,530372.07,23059.66,1,0.04,1,1,56269.5,56269.5,2446.5,22,0.96,3.27,72,1286.72,92644.08,4028,17790,773.48
8984 - MAKATI MEDICAL CENTER,8984,MAKATI MEDICAL CENTER,MARY MILAGROS D. UY,Cardiology,33,147,973607.35,29503.25,30,0.91,2.47,74,8771.01,649054.4,19668.32,1,0.03,1,1,241094.95,241094.95,7305.91,29,0.88,2.48,72,1159.14,83458,2529.03,366703,11112.21
90030247 - MAKATI MEDICAL CENTER,90030247,MAKATI MEDICAL CENTER,,,20,79,587300.6,29365.03,12,0.6,3.17,38,9064.5,344451,17222.55,1,0.05,1,1,214441.6,214441.6,10722.08,19,0.95,2.11,40,710.2,28408,1420.4,32760,1638
90026020 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90026020,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,LIONEL BALCOS MONTOYA,Internal Medicine,25,187,729186.3,29167.45,22,0.88,4.09,90,4967.66,447089.28,17883.57,2,0.08,1,2,91745,183490,7339.6,25,1,3.8,95,1037.97,98607.02,3944.28,57570,2302.8
33250 - THE MEDICAL CITY,33250,THE MEDICAL CITY,MARIANN NILLOS ALMAJAR,Cardiology,8,31,231676.47,28959.56,7,0.88,2.71,19,7883.57,149787.77,18723.47,1,0.13,1,1,70700.02,70700.02,8837.5,4,0.5,2.75,11,1017.15,11188.68,1398.59,12420,1552.5
2446 - MAKATI MEDICAL CENTER,2446,MAKATI MEDICAL CENTER,JORGE A. SISON,Cardiology,26,159,751269.17,28894.97,20,0.77,3.55,71,8706.84,618185.95,23776.38,0,0,0,0,0,0,0,25,0.96,3.52,88,1512.31,133083.22,5118.59,34625,1331.73
90026694 - ST. LUKE'S MEDICAL CENTER-QC,90026694,ST. LUKE'S MEDICAL CENTER-QC,GREGGY AMADOR PANGA,Cardiology,9,59,259506.73,28834.08,7,0.78,3.29,23,9357.77,215228.8,23914.31,0,0,0,0,0,0,0,9,1,4,36,1229.94,44277.93,4919.77,0,0
11112 - ST. LUKE'S MEDICAL CENTER-QC,11112,ST. LUKE'S MEDICAL CENTER-QC,ELLEN GLORIA SAPURIADA ARANAS,Cardiology,16,106,455235.66,28452.23,11,0.69,3.09,34,6859.36,233218.3,14576.14,2,0.13,1,2,76827.88,153655.76,9603.49,16,1,4.38,70,976.59,68361.6,4272.6,30480,1905
90018567 - MAKATI MEDICAL CENTER,90018567,MAKATI MEDICAL CENTER,MARIA CLAUDIA GESMUNDO ALCANCIA,Cardiology,19,115,539958.1,28418.85,16,0.84,4.25,68,5914.3,402172.3,21166.96,1,0.05,1,1,85946,85946,4523.47,17,0.89,2.71,46,1126.95,51839.8,2728.41,9100,478.95
"90010855 - MEDICAL CENTER MANILA, INC.",90010855,"MEDICAL CENTER MANILA, INC.",MAIDENLOVE RAGUERO PANER,Cardiology,63,390,1788831.15,28394.15,48,0.76,3.21,154,7031.91,1082913.5,17189.1,5,0.08,1,5,91053.72,455268.61,7226.49,61,0.97,3.79,231,1085.06,250649.04,3978.56,70900,1125.4
90010496 - SAN MATEO MEDICAL CENTER,90010496,SAN MATEO MEDICAL CENTER,VISVANATH EREVE ESPALDON,Cardiology,96,606,2711323.06,28242.95,70,0.73,3.71,260,5386.3,1400439.04,14587.91,8,0.08,1.25,10,105099.2,1050992.03,10947.83,94,0.98,3.57,336,773.49,259891.99,2707.21,225785,2351.93
90003849 - THE MEDICAL CITY,90003849,THE MEDICAL CITY,CHRISTOPHER OLIVER PIMPING NAZAL,Cardiology,20,133,564680.54,28234.03,12,0.6,5.42,65,4300.81,279552.84,13977.64,2,0.1,1,2,93564.38,187128.76,9356.44,18,0.9,3.67,66,1484.83,97998.94,4899.95,32820,1641
90025566 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90025566,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,CARL DOMINIC PANCHO TOLENTINO,Cardiology,8,36,225061.66,28132.71,4,0.5,3.25,13,6082.85,79077,9884.63,1,0.13,1,1,81064.53,81064.53,10133.07,8,1,2.75,22,2950.92,64920.13,8115.02,9100,1137.5
"90010767 - MANILA EAST MEDICAL CENTER, INC.",90010767,"MANILA EAST MEDICAL CENTER, INC.",RYAN FELIX TIPON,Internal Medicine,28,195,783260.8,27973.6,22,0.79,4.23,93,4344.37,404026.53,14429.52,5,0.18,1,5,57698.83,288494.13,10303.36,28,1,3.46,97,935.47,90740.14,3240.72,50455,1801.96
90017750 - SAN MATEO MEDICAL CENTER,90017750,SAN MATEO MEDICAL CENTER,RALPH LAURENCE ATIENZA CARANDANG,Cardiology,22,139,615357.9,27970.81,19,0.86,3.21,61,3966.9,241980.74,10999.12,3,0.14,2,6,45041.05,270246.3,12283.92,21,0.95,3.43,72,1432.37,103130.86,4687.77,48762.59,2216.48
1736 - MANILA DOCTORS HOSPITAL,1736,MANILA DOCTORS HOSPITAL,ANTHONY C. LEACHON,Cardiology,80,411,2229386.84,27867.34,51,0.64,3.88,198,6165.92,1220851.61,15260.65,5,0.06,1.6,8,95268.6,762148.82,9526.86,73,0.91,2.81,205,1201.88,246386.41,3079.83,145477,1818.46
17951 - MARIKINA VALLEY MEDICAL CENTER INC.,17951,MARIKINA VALLEY MEDICAL CENTER INC.,ELNORA SALOME F. FORTU,Cardiology,11,74,306083.63,27825.78,8,0.73,3.5,28,6654.35,186321.76,16938.34,1,0.09,1,1,79837.42,79837.42,7257.95,11,1,4.09,45,887.21,39924.45,3629.5,20670,1879.09
90010496 - ST. LUKE'S MEDICAL CENTER-QC,90010496,ST. LUKE'S MEDICAL CENTER-QC,VISVANATH EREVE ESPALDON,Cardiology,8,44,222501.4,27812.68,6,0.75,4,24,8791.73,211001.4,26375.18,0,0,0,0,0,0,0,8,1,2.5,20,575,11500,1437.5,0,0
23341 - THE MEDICAL CITY,23341,THE MEDICAL CITY,JOSE PAOLO ALTO PRADO,Cardiology,23,137,638689.87,27769.12,16,0.7,4.94,79,4619.53,364942.73,15867.08,2,0.09,1,2,104588.35,209176.69,9094.64,20,0.87,2.8,56,1153.04,64570.45,2807.41,28000,1217.39
4371 - ST. LUKE'S MEDICAL CENTER-QC,4371,ST. LUKE'S MEDICAL CENTER-QC,NESTOR LOTHO SANTIAGO,Internal Medicine,56,215,1552357.57,27720.67,43,0.77,2.91,125,7487.54,935942.9,16713.27,4,0.07,1.25,5,98364.43,491822.13,8782.54,32,0.57,2.66,85,1465.79,124592.54,2224.87,50700,905.36
31931 - ST. LUKE'S MEDICAL CENTER-QC,31931,ST. LUKE'S MEDICAL CENTER-QC,EDUARDO LIM TIN HAY,Cardiology,11,39,303354.84,27577.71,9,0.82,1.89,17,15752,267784.08,24344.01,0,0,0,0,0,0,0,11,1,2,22,1616.85,35570.76,3233.71,15000,1363.64
90028516 - DIVINE GRACE MEDICAL CENTER,90028516,DIVINE GRACE MEDICAL CENTER,RAPONCEL GARCIA TAN,Cardiology,18,78,494292.99,27460.72,14,0.78,2.07,29,8568.87,248497.21,13805.4,1,0.06,1,1,209804,209804,11655.78,18,1,2.67,48,749.83,35991.78,1999.54,36855,2047.5
90016449 - ASIAN HOSPITAL AND MEDICAL CENTER,90016449,ASIAN HOSPITAL AND MEDICAL CENTER,PAMELA ANN TORRES ARIBON,Internal Medicine,9,48,246562.7,27395.86,8,0.89,2,16,12472.3,199556.85,22172.98,0,0,0,0,0,0,0,9,1,3.56,32,1468.93,47005.85,5222.87,0,0
90013926 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90013926,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,EDITHA PATINO JACER,Cardiology,13,85,354734.83,27287.29,11,0.85,3,33,6015.08,198497.5,15269.04,2,0.15,1,2,62771.17,125542.34,9657.1,11,0.85,4.55,50,613.9,30694.99,2361.15,27165,2089.62
8775 - MANILA DOCTORS HOSPITAL,8775,MANILA DOCTORS HOSPITAL,NOEMI S. PESTANO,Cardiology,14,106,381659.67,27261.41,9,0.64,6.44,58,4909.27,284737.58,20338.4,2,0.14,1,2,35461.05,70922.09,5065.86,13,0.93,3.54,46,565.22,26000,1857.14,37120,2651.43
90019816 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90019816,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARLON BAUTISTA MANICAD,Cardiology,205,1085,5583414.27,27236.17,161,0.79,2.98,479,8588.58,4113927.62,20067.94,16,0.08,1.06,17,55321.52,940465.87,4587.64,197,0.96,2.99,589,898.17,529020.78,2580.59,212495,1036.56
21972 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,21972,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ROMEO CAOAGDAN GRIÃ‘O JR.,Cardiology,19,84,514751.92,27092.21,14,0.74,2.14,30,10629.84,318895.29,16783.96,2,0.11,1,2,70050.32,140100.63,7373.72,19,1,2.74,52,1072.23,55756,2934.53,34400,1810.53
90015671 - MAKATI MEDICAL CENTER,90015671,MAKATI MEDICAL CENTER,MARIA PRINCESS LANDICHO KANAPI,Endocrinology,29,194,785634.18,27090.83,22,0.76,4.09,90,6354.28,571885.4,19720.19,1,0.03,1,1,70672.1,70672.1,2436.97,28,0.97,3.68,103,1389.09,143076.68,4933.68,13030,449.31
38661 - THE MEDICAL CITY,38661,THE MEDICAL CITY,VICTOR LABRADOR LAZARO,Cardiology,114,774,3057832.2,26823.09,80,0.7,4.93,394,5585.21,2200574.33,19303.28,6,0.05,1,6,85079.02,510474.1,4477.84,109,0.96,3.43,374,927.23,346783.77,3041.96,223825,1963.38
90023536 - ASIAN HOSPITAL AND MEDICAL CENTER,90023536,ASIAN HOSPITAL AND MEDICAL CENTER,JAIME ALFONSO MANALO AHERRERA,Interventional Cardiology,63,232,1682457.7,26705.68,38,0.6,2.16,82,10457.6,857523.41,13611.48,4,0.06,1.25,5,128144.41,640722.05,10170.19,60,0.95,2.42,145,1270.43,184212.24,2924,103930,1649.68
90030269 - ASIAN HOSPITAL AND MEDICAL CENTER,90030269,ASIAN HOSPITAL AND MEDICAL CENTER,JANELLE DELOS REYES ENERO,Cardiology,46,204,1227588.52,26686.71,35,0.76,2.54,89,12139.8,1080441.78,23487.86,1,0.02,1,1,20000,20000,434.78,45,0.98,2.53,114,1115.32,127146.74,2764.06,20220,439.57
6231 - ST. LUKE'S MEDICAL CENTER-QC,6231,ST. LUKE'S MEDICAL CENTER-QC,TERESITA LAURIO VALDEMORO,Internal Medicine,12,47,320225.6,26685.47,8,0.67,2.5,20,9367.68,187353.6,15612.8,1,0.08,1,1,119000,119000,9916.67,12,1,2.17,26,533.54,13872,1156,11466,955.5
19851 - ASIAN HOSPITAL AND MEDICAL CENTER,19851,ASIAN HOSPITAL AND MEDICAL CENTER,PELAGIO LIMPIADA ESMAQUEL JR.,Nephrology,9,38,239788.91,26643.21,7,0.78,2.57,18,10621.11,191179.91,21242.21,1,0.11,1,1,37731,37731,4192.33,8,0.89,2.38,19,572.53,10878,1208.67,5915,657.22
"2034 - MANILA EAST MEDICAL CENTER, INC.",2034,"MANILA EAST MEDICAL CENTER, INC.",RONAN CHRISTIAN B. MINA,Cardiology,130,885,3446473.82,26511.34,108,0.83,4.42,477,4399.11,2098377.02,16141.36,13,0.1,1.15,15,61944.73,929170.93,7147.47,115,0.88,3.42,393,1065.97,418925.87,3222.51,120125,924.04
"90012253 - MEDICAL CENTER MANILA, INC.",90012253,"MEDICAL CENTER MANILA, INC.",CRISTINE CATINDIG SANTELICES,Cardiology,19,128,503070.38,26477.39,17,0.9,3.76,64,5999.27,383953.02,20208.05,1,0.05,1,1,31051,31051,1634.26,19,1,3.32,63,1397.88,88066.36,4635.07,19580,1030.53
90029398 - THE MEDICAL CITY,90029398,THE MEDICAL CITY,KRISTELA ARANJUEZ CHIU,Cardiology,30,162,793059.13,26435.3,19,0.63,3.79,72,5774.22,415744.14,13858.14,3,0.1,1,3,89679.9,269039.7,8967.99,29,0.97,3,87,1244.54,108275.29,3609.18,47185,1572.83
20371 - ASIAN HOSPITAL AND MEDICAL CENTER,20371,ASIAN HOSPITAL AND MEDICAL CENTER,JAY MICHAEL VITE YASON,Cardiology,15,94,396429.13,26428.61,11,0.73,3.55,39,7729.75,301460.3,20097.35,1,0.07,1,1,61822.51,61822.51,4121.5,15,1,3.6,54,613.82,33146.32,2209.75,5460,364
