physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
90027962 - ST. LUKE'S MEDICAL CENTER-QC,90027962,ST. LUKE'S MEDICAL CENTER-QC,MONICA KRISTINE REYES SINDIONG,Cardiology,55,333,1899188.95,34530.71,38.00,0.69,3.76,143.00,8657.83,1238069.65,22510.36,5.00,0.09,1.20,6.00,70896.16,425376.94,7734.13,55.00,1.00,3.35,184.00,1281.21,235742.36,4286.22,109320.00,1987.64
90012767 - ST. LUKE'S MEDICAL CENTER-QC,90012767,ST. LUKE'S MEDICAL CENTER-QC,CLARA SY TOLENTINO,Cardiology,8,37,276237.96,34529.75,6.00,0.75,3.33,20.00,13335.80,266715.96,33339.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.88,2.43,17.00,560.12,9522.00,1190.25,15600.00,1950.00
90024620 - ST. LUKE'S MEDICAL CENTER-QC,90024620,ST. LUKE'S MEDICAL CENTER-QC,CONRAD ARGANDA ESTANISLAO,Nephrology,39,192,1332634.48,34170.11,28.00,0.72,3.50,98.00,9531.32,934069.45,23950.50,3.00,0.08,1.33,4.00,86822.26,347289.03,8904.85,35.00,0.90,2.57,90.00,569.73,51276.00,1314.77,107130.00,2746.92
90020406 - CARDINAL SANTOS MEDICAL CENTER,90020406,CARDINAL SANTOS MEDICAL CENTER,LENNIE VILLOSO CASTILLO,Cardiology,8,59,272649.63,34081.20,8.00,1.00,4.88,39.00,6698.45,261239.63,32654.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.88,2.86,20.00,570.50,11410.00,1426.25,15020.00,1877.50
90024278 - OUR LADY OF LOURDES HOSPITAL-MANILA,90024278,OUR LADY OF LOURDES HOSPITAL-MANILA,CHARISSE ANNE REVIL TING,Cardiology,36,280,1226091.27,34058.09,33.00,0.92,3.88,128.00,5450.69,697688.58,19380.24,3.00,0.08,1.67,5.00,73516.25,367581.23,10210.59,34.00,0.94,4.32,147.00,1094.02,160821.46,4467.26,53673.00,1490.92
"90020666 - MEDICAL CENTER MANILA, INC.",90020666,"MEDICAL CENTER MANILA, INC.",JUAN CARLO PASCUAL DAYRIT,Endocrinology,15,101,510140.08,34009.34,14.00,0.93,4.14,58.00,5000.91,290052.80,19336.85,1.00,0.07,1.00,1.00,175365.31,175365.31,11691.02,14.00,0.93,3.00,42.00,1064.81,44721.97,2981.46,18000.00,1200.00
90024783 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90024783,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,JOAN AVA KAYE ROSALES TIU,Internal Medicine,12,46,407517.66,33959.81,6.00,0.50,2.83,17.00,5720.11,97241.95,8103.50,3.00,0.25,1.00,3.00,90937.97,272813.90,22734.49,9.00,0.75,2.89,26.00,1440.84,37461.81,3121.82,49380.00,4115.00
90020749 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90020749,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,LESTER SY UY,Cardiology,39,247,1313429.60,33677.68,31.00,0.80,3.52,109.00,10003.88,1090423.46,27959.58,1.00,0.03,1.00,1.00,97244.00,97244.00,2493.44,39.00,1.00,3.51,137.00,917.97,125762.14,3224.67,6825.00,175.00
37372 - CARDINAL SANTOS MEDICAL CENTER,37372,CARDINAL SANTOS MEDICAL CENTER,MELISSA CO SIA,Endocrinology,10,88,336313.68,33631.37,9.00,0.90,6.00,54.00,5568.00,300672.06,30067.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.90,3.78,34.00,1048.28,35641.62,3564.16,0.00,0.00
14068 - THE MEDICAL CITY,14068,THE MEDICAL CITY,ADRIEL E. GUERRERO,Cardiology,11,62,369761.75,33614.70,8.00,0.73,5.38,43.00,5258.22,226103.37,20554.85,1.00,0.09,1.00,1.00,107082.38,107082.38,9734.76,8.00,0.73,2.25,18.00,2032.00,36576.00,3325.09,15060.00,1369.09
4821 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,4821,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARILOU TRAJECO DE JESUS,Cardiology,26,126,873788.14,33607.24,23.00,0.89,2.48,57.00,7996.53,455802.28,17530.86,2.00,0.08,1.00,2.00,148780.00,297560.00,11444.62,19.00,0.73,3.53,67.00,1797.40,120425.86,4631.76,28380.00,1091.54
90010206 - MANILA DOCTORS HOSPITAL,90010206,MANILA DOCTORS HOSPITAL,IAN HERBERT IGMEN ESTANISLAO,Cardiology,91,646,3046198.97,33474.71,69.00,0.76,5.39,372.00,5858.44,2179339.97,23948.79,4.00,0.04,1.00,4.00,134461.20,537844.79,5910.38,88.00,0.97,3.07,270.00,1218.57,329014.21,3615.54,172990.00,1900.99
90009924 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90009924,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,DEBORAH IGNACIA A. DAVID-ONA,Nephrology,23,130,767771.83,33381.38,16.00,0.70,3.75,60.00,11761.78,705706.62,30682.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.91,3.33,70.00,886.65,62065.21,2698.49,10900.00,473.91
30661 - MARIKINA VALLEY MEDICAL CENTER INC.,30661,MARIKINA VALLEY MEDICAL CENTER INC.,MA. CORAZON M CASTIGADOR,Cardiology,65,368,2166535.86,33331.32,52.00,0.80,3.06,159.00,8914.47,1417401.18,21806.17,8.00,0.12,1.00,8.00,69260.06,554080.45,8524.31,64.00,0.98,3.14,201.00,970.42,195054.23,3000.83,94691.00,1456.78
16871 - THE MEDICAL CITY,16871,THE MEDICAL CITY,JESUS EDGAR ALMEIDA VILLANO,Cardiology,93,653,3099129.93,33323.98,69.00,0.74,4.86,335.00,5556.29,1861357.17,20014.59,8.00,0.09,1.13,9.00,95435.01,858915.12,9235.65,93.00,1.00,3.32,309.00,1226.08,378857.64,4073.74,219560.00,2360.86
90025135 - ASIAN HOSPITAL AND MEDICAL CENTER,90025135,ASIAN HOSPITAL AND MEDICAL CENTER,JUAN RAFAEL MARZAN AGUILAR,Internal Medicine,74,291,2463339.47,33288.37,62.00,0.84,3.10,192.00,11434.67,2195456.60,29668.33,2.00,0.03,1.00,2.00,82591.22,165182.44,2232.20,43.00,0.58,2.26,97.00,1058.77,102700.43,1387.84,43880.00,592.97
542 - MARIKINA VALLEY MEDICAL CENTER INC.,542,MARIKINA VALLEY MEDICAL CENTER INC.,BENJAMIN EDSEL V. MALAYA,Gastroenterology,10,35,332166.49,33216.65,9.00,0.90,2.00,18.00,7339.27,132106.89,13210.69,1.00,0.10,1.00,1.00,187256.95,187256.95,18725.70,9.00,0.90,1.78,16.00,800.17,12802.65,1280.27,31150.00,3115.00
90014941 - MAKATI MEDICAL CENTER,90014941,MAKATI MEDICAL CENTER,RONA MARIE LONGANILLA LEONOR,Cardiology,92,429,3021195.75,32839.08,61.00,0.66,2.52,154.00,9519.93,1466068.45,15935.53,7.00,0.08,1.00,7.00,170890.14,1196230.95,13002.51,91.00,0.99,2.95,268.00,1339.17,358896.35,3901.05,161175.00,1751.90
90004522 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90004522,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,RODNEY MONTESINO JIMENEZ,Interventional Cardiology,7,24,228997.93,32713.99,7.00,1.00,3.29,23.00,9932.52,228447.93,32635.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.14,1.00,1.00,550.00,550.00,78.57,0.00,0.00
90008506 - CARDINAL SANTOS MEDICAL CENTER,90008506,CARDINAL SANTOS MEDICAL CENTER,LOURDES ELLA G. SANTOS,Cardiology,16,69,520910.09,32556.88,16.00,1.00,3.94,63.00,8109.18,510878.09,31929.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.25,1.50,6.00,1672.00,10032.00,627.00,16640.00,1040.00
9221 - MANILA DOCTORS HOSPITAL,9221,MANILA DOCTORS HOSPITAL,JUSTO MARINO C. CAMMAYO,Cardiology,43,425,1379453.26,32080.31,39.00,0.91,6.31,246.00,3788.51,931973.64,21673.81,3.00,0.07,1.00,3.00,103853.80,311561.41,7245.61,43.00,1.00,4.09,176.00,772.26,135918.21,3160.89,41270.00,959.77
90021073 - CARDINAL SANTOS MEDICAL CENTER,90021073,CARDINAL SANTOS MEDICAL CENTER,PIERRE ALBERT AMA ALORA,Cardiology,44,204,1410143.94,32048.73,29.00,0.66,3.55,103.00,5609.81,577810.29,13132.05,2.00,0.05,1.00,2.00,368000.00,736000.00,16727.27,41.00,0.93,2.41,99.00,973.07,96333.65,2189.40,40500.00,920.45
24711 - MAKATI MEDICAL CENTER,24711,MAKATI MEDICAL CENTER,MA. TERESA ANCIANO TORRES,Cardiology,119,819,3796664.75,31904.75,88.00,0.74,4.16,366.00,7557.13,2765909.60,23242.94,6.00,0.05,1.00,6.00,100696.81,604180.87,5077.15,115.00,0.97,3.89,447.00,954.30,426574.28,3584.66,237089.60,1992.35
5978 - MAKATI MEDICAL CENTER,5978,MAKATI MEDICAL CENTER,PRUDENCIO DOLORES DY,Internal Medicine,248,1654,7908735.22,31890.06,199.00,0.80,3.80,757.00,7418.25,5615616.93,22643.62,8.00,0.03,1.00,8.00,159925.52,1279404.18,5158.89,244.00,0.98,3.64,889.00,1140.29,1013714.11,4087.56,383454.00,1546.19
90020116 - SAN MATEO MEDICAL CENTER,90020116,SAN MATEO MEDICAL CENTER,MARIA FE FRIAL BAUTISTA,Nephrology,9,45,286458.13,31828.68,5.00,0.56,3.20,16.00,4638.01,74208.13,8245.35,1.00,0.11,1.00,1.00,197000.00,197000.00,21888.89,9.00,1.00,3.11,28.00,544.64,15250.00,1694.44,29680.00,3297.78
90025415 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90025415,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,ALINAYA AURELIO CORDERO,Cardiology,20,106,634669.51,31733.48,15.00,0.75,3.00,45.00,5279.06,237557.90,11877.90,4.00,0.20,1.25,5.00,56657.72,283288.60,14164.43,18.00,0.90,3.11,56.00,2032.55,113823.01,5691.15,31290.00,1564.50
"90011106 - MEDICAL CENTER MANILA, INC.",90011106,"MEDICAL CENTER MANILA, INC.",MARIEL ITOM BARCELON-CRUZ,Cardiology,24,241,761535.77,31730.66,20.00,0.83,5.80,116.00,4709.91,546349.68,22764.57,2.00,0.08,1.00,2.00,34344.52,68689.04,2862.04,24.00,1.00,5.13,123.00,1191.03,146497.05,6104.04,43540.00,1814.17
6081 - MAKATI MEDICAL CENTER,6081,MAKATI MEDICAL CENTER,JIMMY B. ARAGON,Endocrinology,9,50,285073.40,31674.82,8.00,0.89,4.38,35.00,7488.78,262107.40,29123.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.56,3.00,15.00,1531.07,22966.00,2551.78,0.00,0.00
13131 - MAKATI MEDICAL CENTER,13131,MAKATI MEDICAL CENTER,JOSIERINA Y. SARMIENTO,Internal Medicine,15,153,474251.15,31616.74,13.00,0.87,5.54,72.00,5974.38,430155.15,28677.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,1.00,5.40,81.00,544.40,44096.00,2939.73,7400.00,493.33
90028275 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90028275,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,CRISTALLE GERALDINE CHUA DY,Cardiology,8,47,252345.00,31543.13,5.00,0.63,3.00,15.00,6945.88,104188.15,13023.52,1.00,0.13,1.00,1.00,117061.95,117061.95,14632.74,8.00,1.00,3.88,31.00,1003.06,31094.90,3886.86,24180.00,3022.50
90023839 - DILIMAN DOCTORS HOSPITAL INC.,90023839,DILIMAN DOCTORS HOSPITAL INC.,JOSE BERNARDO AQUINO CALATRAVA,Cardiology,45,234,1417806.53,31506.81,29.00,0.64,3.93,114.00,7138.24,813759.09,18083.54,3.00,0.07,1.33,4.00,119756.93,479027.70,10645.06,40.00,0.89,2.90,116.00,1077.76,125019.74,2778.22,104789.05,2328.65
8716 - MAKATI MEDICAL CENTER,8716,MAKATI MEDICAL CENTER,CLAVEL MARANAN MACALINTAL,Cardiology,53,286,1666082.75,31435.52,39.00,0.74,3.74,146.00,9625.02,1405252.68,26514.20,1.00,0.02,2.00,2.00,78278.61,156557.22,2953.91,48.00,0.91,2.88,138.00,755.60,104272.85,1967.41,74300.00,1401.89
90026981 - DILIMAN DOCTORS HOSPITAL INC.,90026981,DILIMAN DOCTORS HOSPITAL INC.,LISA ANGELICA EVANGELISTA KUHN,Internal Medicine,12,74,376283.87,31356.99,11.00,0.92,2.91,32.00,9928.76,317720.29,26476.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.92,3.82,42.00,1394.37,58563.58,4880.30,16620.00,1385.00
90029044 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029044,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,CO-NEIL REBANAL RELATO,Cardiology,65,321,2034204.51,31295.45,48.00,0.74,2.65,127.00,11472.21,1456970.92,22414.94,2.00,0.03,1.00,2.00,185872.39,371744.77,5719.15,60.00,0.92,3.20,192.00,1070.25,205488.82,3161.37,109988.00,1692.12
90019013 - MAKATI MEDICAL CENTER,90019013,MAKATI MEDICAL CENTER,PAUL CONDES QUETUA,Cardiology,7,33,219004.90,31286.41,6.00,0.86,3.33,20.00,10409.31,208186.15,29740.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.57,3.25,13.00,832.21,10818.75,1545.54,5500.00,785.71
90010275 - OUR LADY OF LOURDES HOSPITAL-MANILA,90010275,OUR LADY OF LOURDES HOSPITAL-MANILA,SHARON ROBLES MANZANILLA,Cardiology,29,215,903629.72,31159.65,24.00,0.83,3.38,81.00,5230.63,423681.41,14609.70,4.00,0.14,1.25,5.00,73682.86,368414.28,12703.94,28.00,0.97,4.61,129.00,864.60,111534.03,3846.00,518449.92,17877.58
90010855 - MANILA DOCTORS HOSPITAL,90010855,MANILA DOCTORS HOSPITAL,MAIDENLOVE RAGUERO PANER,Cardiology,30,235,930320.67,31010.69,21.00,0.70,5.81,122.00,6416.52,782815.25,26093.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,1.00,3.77,113.00,1305.36,147505.42,4916.85,18180.00,606.00
"90021232 - MANILA EAST MEDICAL CENTER, INC.",90021232,"MANILA EAST MEDICAL CENTER, INC.",FRANCIS CARL DE LEON CATALAN,Interventional Cardiology,72,457,2228616.58,30953.01,55.00,0.76,4.05,223.00,7564.85,1686960.73,23430.01,3.00,0.04,1.33,4.00,81401.77,325607.08,4522.32,72.00,1.00,3.19,230.00,939.34,216048.77,3000.68,77050.00,1070.14
90025447 - MAKATI MEDICAL CENTER,90025447,MAKATI MEDICAL CENTER,JOSE-ERNESTO BLANCADA ADEA,Cardiology,9,27,278480.00,30942.22,4.00,0.44,2.75,11.00,9161.82,100780.00,11197.78,2.00,0.22,1.00,2.00,84934.00,169868.00,18874.22,8.00,0.89,1.75,14.00,559.43,7832.00,870.22,46670.00,5185.56
90023979 - CARDINAL SANTOS MEDICAL CENTER,90023979,CARDINAL SANTOS MEDICAL CENTER,AARON JAMES POBLETE TAN,Cardiology,26,153,802538.42,30866.86,22.00,0.85,4.32,95.00,8034.77,763303.09,29357.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.77,2.90,58.00,676.47,39235.33,1509.05,15870.00,610.38
90019816 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90019816,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,MARLON BAUTISTA MANICAD,Cardiology,100,609,3077523.94,30775.24,90.00,0.90,3.18,286.00,8199.07,2344933.15,23449.33,4.00,0.04,1.00,4.00,118051.62,472206.46,4722.06,98.00,0.98,3.26,319.00,816.25,260384.33,2603.84,104880.00,1048.80
90014941 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90014941,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,RONA MARIE LONGANILLA LEONOR,Cardiology,30,165,922851.23,30761.71,20.00,0.67,4.00,80.00,9655.73,772458.61,25748.62,1.00,0.03,1.00,1.00,50001.85,50001.85,1666.73,30.00,1.00,2.80,84.00,1195.13,100390.77,3346.36,38140.00,1271.33
19451 - MAKATI MEDICAL CENTER,19451,MAKATI MEDICAL CENTER,JUAN DIONISIO MARCELINO REYES FORONDA,Cardiology,84,423,2577608.40,30685.81,59.00,0.70,3.53,208.00,9051.17,1882644.06,22412.43,4.00,0.05,1.00,4.00,129086.71,516346.84,6146.99,76.00,0.90,2.78,211.00,846.53,178617.50,2126.40,140190.00,1668.93
90013686 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90013686,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FEDERICK CO CHENG,Cardiology,11,29,336215.66,30565.06,7.00,0.64,2.43,17.00,13863.40,235677.78,21425.25,1.00,0.09,1.00,1.00,93225.88,93225.88,8475.08,7.00,0.64,1.57,11.00,664.73,7312.00,664.73,19920.00,1810.91
90008255 - OUR LADY OF LOURDES HOSPITAL-MANILA,90008255,OUR LADY OF LOURDES HOSPITAL-MANILA,MARLOU ILAGAN MENDOZA,Interventional Cardiology,11,103,335383.78,30489.43,9.00,0.82,3.78,34.00,7661.29,260483.75,23680.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,1.00,6.27,69.00,1085.51,74900.03,6809.09,20130.00,1830.00
1759 - ST. LUKE'S MEDICAL CENTER-QC,1759,ST. LUKE'S MEDICAL CENTER-QC,RAMON ACEVEDO REYES,Cardiology,78,526,2370438.07,30390.23,58.00,0.74,4.26,247.00,7220.73,1783519.69,22865.64,3.00,0.04,1.00,3.00,96443.67,289331.00,3709.37,75.00,0.96,3.68,276.00,1078.22,297587.38,3815.22,91000.00,1166.67
1785 - ST. LUKE'S MEDICAL CENTER-QC,1785,ST. LUKE'S MEDICAL CENTER-QC,MA. LUISA BANDA AFABLE,Cardiology,16,87,486016.58,30376.04,8.00,0.50,3.88,31.00,7694.83,238539.84,14908.74,1.00,0.06,1.00,1.00,147390.23,147390.23,9211.89,16.00,1.00,3.44,55.00,1819.75,100086.51,6255.41,17800.00,1112.50
9826 - CARDINAL SANTOS MEDICAL CENTER,9826,CARDINAL SANTOS MEDICAL CENTER,ERWIN DEREZ DIZON,Cardiology,26,108,788045.93,30309.46,21.00,0.81,2.81,59.00,5988.56,353325.04,13589.42,4.00,0.15,1.25,5.00,81514.58,407572.89,15675.88,22.00,0.85,2.00,44.00,617.00,27148.00,1044.15,37271.00,1433.50
90018235 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90018235,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARYGRACE TAMAYO GARCIA,Internal Medicine,49,222,1482219.88,30249.39,40.00,0.82,2.63,105.00,5668.84,595227.80,12147.51,7.00,0.14,1.00,7.00,110525.98,773681.83,15789.43,38.00,0.78,2.89,110.00,1030.09,113310.25,2312.45,223498.83,4561.20
90014383 - THE MEDICAL CITY,90014383,THE MEDICAL CITY,ANA BEATRIZ DELOS REYES MEDRANO,Cardiology,33,139,991930.17,30058.49,33.00,1.00,2.85,94.00,8841.49,831099.90,25184.85,2.00,0.06,1.00,2.00,45000.00,90000.00,2727.27,15.00,0.45,2.87,43.00,1647.22,70830.27,2146.37,29220.00,885.45
28443 - MANILA DOCTORS HOSPITAL,28443,MANILA DOCTORS HOSPITAL,JESSORE IBABAO ISIDRO,Interventional Cardiology,20,141,600849.07,30042.45,14.00,0.70,4.71,66.00,5536.31,365396.67,18269.83,1.00,0.05,1.00,1.00,185900.00,185900.00,9295.00,17.00,0.85,4.35,74.00,669.63,49552.40,2477.62,42720.00,2136.00
17802 - THE MEDICAL CITY,17802,THE MEDICAL CITY,GINA VILLARAMA ALEMANY,Cardiology,102,556,3058038.95,29980.77,65.00,0.64,4.48,291.00,5904.40,1718180.28,16844.90,9.00,0.09,1.33,12.00,74349.29,892191.43,8746.97,90.00,0.88,2.81,253.00,1769.44,447667.24,4388.89,141651.00,1388.74
90017397 - ASIAN HOSPITAL AND MEDICAL CENTER,90017397,ASIAN HOSPITAL AND MEDICAL CENTER,MICHAEL JOSEPH TANJUAQUIO REYES,Cardiology,61,307,1827852.89,29964.80,37.00,0.61,3.81,141.00,7951.85,1121211.05,18380.51,7.00,0.11,1.00,7.00,73849.55,516946.82,8474.54,57.00,0.93,2.79,159.00,1193.05,189695.02,3109.75,98000.00,1606.56
34303 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,34303,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,GARI TOLENTINO RECODO,Internal Medicine,17,106,509199.75,29952.93,16.00,0.94,3.06,49.00,6301.11,308754.52,18162.03,2.00,0.12,1.00,2.00,85372.62,170745.23,10043.84,16.00,0.94,3.44,55.00,540.00,29700.00,1747.06,38200.00,2247.06
90017357 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90017357,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MARIA CHRISTIE MENDOZA REYES,Internal Medicine,28,216,832531.32,29733.26,21.00,0.75,3.81,80.00,4983.50,398679.72,14238.56,3.00,0.11,1.33,4.00,72360.14,289440.56,10337.16,27.00,0.96,4.89,132.00,1094.02,144411.04,5157.54,64910.00,2318.21
473 - ST. LUKE'S MEDICAL CENTER-QC,473,ST. LUKE'S MEDICAL CENTER-QC,MARY LOU S. CERA-GARCIA,Nephrology,37,211,1093240.18,29547.03,30.00,0.81,4.20,126.00,7738.32,975027.87,26352.10,1.00,0.03,1.00,1.00,29097.12,29097.12,786.41,32.00,0.86,2.63,84.00,1060.90,89115.19,2408.52,60850.00,1644.59
90016686 - ASIAN HOSPITAL AND MEDICAL CENTER,90016686,ASIAN HOSPITAL AND MEDICAL CENTER,MARY CHERYL LARONA BAUTISTA,Cardiology,23,125,679285.65,29534.16,19.00,0.83,2.74,52.00,10199.46,530372.07,23059.66,1.00,0.04,1.00,1.00,56269.50,56269.50,2446.50,22.00,0.96,3.27,72.00,1286.72,92644.08,4028.00,17790.00,773.48
8984 - MAKATI MEDICAL CENTER,8984,MAKATI MEDICAL CENTER,MARY MILAGROS D. UY,Cardiology,33,147,973607.35,29503.25,30.00,0.91,2.47,74.00,8771.01,649054.40,19668.32,1.00,0.03,1.00,1.00,241094.95,241094.95,7305.91,29.00,0.88,2.48,72.00,1159.14,83458.00,2529.03,366703.00,11112.21
90030247 - MAKATI MEDICAL CENTER,90030247,MAKATI MEDICAL CENTER,N/A,N/A,20,79,587300.60,29365.03,12.00,0.60,3.17,38.00,9064.50,344451.00,17222.55,1.00,0.05,1.00,1.00,214441.60,214441.60,10722.08,19.00,0.95,2.11,40.00,710.20,28408.00,1420.40,32760.00,1638.00
90026020 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90026020,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,LIONEL BALCOS MONTOYA,Internal Medicine,25,187,729186.30,29167.45,22.00,0.88,4.09,90.00,4967.66,447089.28,17883.57,2.00,0.08,1.00,2.00,91745.00,183490.00,7339.60,25.00,1.00,3.80,95.00,1037.97,98607.02,3944.28,57570.00,2302.80
33250 - THE MEDICAL CITY,33250,THE MEDICAL CITY,MARIANN NILLOS ALMAJAR,Cardiology,8,31,231676.47,28959.56,7.00,0.88,2.71,19.00,7883.57,149787.77,18723.47,1.00,0.13,1.00,1.00,70700.02,70700.02,8837.50,4.00,0.50,2.75,11.00,1017.15,11188.68,1398.59,12420.00,1552.50
2446 - MAKATI MEDICAL CENTER,2446,MAKATI MEDICAL CENTER,JORGE A. SISON,Cardiology,26,159,751269.17,28894.97,20.00,0.77,3.55,71.00,8706.84,618185.95,23776.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.96,3.52,88.00,1512.31,133083.22,5118.59,34625.00,1331.73
90026694 - ST. LUKE'S MEDICAL CENTER-QC,90026694,ST. LUKE'S MEDICAL CENTER-QC,GREGGY AMADOR PANGA,Cardiology,9,59,259506.73,28834.08,7.00,0.78,3.29,23.00,9357.77,215228.80,23914.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,4.00,36.00,1229.94,44277.93,4919.77,0.00,0.00
11112 - ST. LUKE'S MEDICAL CENTER-QC,11112,ST. LUKE'S MEDICAL CENTER-QC,ELLEN GLORIA SAPURIADA ARANAS,Cardiology,16,106,455235.66,28452.23,11.00,0.69,3.09,34.00,6859.36,233218.30,14576.14,2.00,0.13,1.00,2.00,76827.88,153655.76,9603.49,16.00,1.00,4.38,70.00,976.59,68361.60,4272.60,30480.00,1905.00
90018567 - MAKATI MEDICAL CENTER,90018567,MAKATI MEDICAL CENTER,MARIA CLAUDIA GESMUNDO ALCANCIA,Cardiology,19,115,539958.10,28418.85,16.00,0.84,4.25,68.00,5914.30,402172.30,21166.96,1.00,0.05,1.00,1.00,85946.00,85946.00,4523.47,17.00,0.89,2.71,46.00,1126.95,51839.80,2728.41,9100.00,478.95
"90010855 - MEDICAL CENTER MANILA, INC.",90010855,"MEDICAL CENTER MANILA, INC.",MAIDENLOVE RAGUERO PANER,Cardiology,63,390,1788831.15,28394.15,48.00,0.76,3.21,154.00,7031.91,1082913.50,17189.10,5.00,0.08,1.00,5.00,91053.72,455268.61,7226.49,61.00,0.97,3.79,231.00,1085.06,250649.04,3978.56,70900.00,1125.40
90010496 - SAN MATEO MEDICAL CENTER,90010496,SAN MATEO MEDICAL CENTER,VISVANATH EREVE ESPALDON,Cardiology,96,606,2711323.06,28242.95,70.00,0.73,3.71,260.00,5386.30,1400439.04,14587.91,8.00,0.08,1.25,10.00,105099.20,1050992.03,10947.83,94.00,0.98,3.57,336.00,773.49,259891.99,2707.21,225785.00,2351.93
90003849 - THE MEDICAL CITY,90003849,THE MEDICAL CITY,CHRISTOPHER OLIVER PIMPING NAZAL,Cardiology,20,133,564680.54,28234.03,12.00,0.60,5.42,65.00,4300.81,279552.84,13977.64,2.00,0.10,1.00,2.00,93564.38,187128.76,9356.44,18.00,0.90,3.67,66.00,1484.83,97998.94,4899.95,32820.00,1641.00
90025566 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90025566,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,CARL DOMINIC PANCHO TOLENTINO,Cardiology,8,36,225061.66,28132.71,4.00,0.50,3.25,13.00,6082.85,79077.00,9884.63,1.00,0.13,1.00,1.00,81064.53,81064.53,10133.07,8.00,1.00,2.75,22.00,2950.92,64920.13,8115.02,9100.00,1137.50
