"cptcode","cptdesc"
MAM165,MAMMOGRAPHY 2 BREAST
MAM166,MAMMOGRAPHY UNILATERAL
MAM167,MAMMOGRAM WITH BREAST ULTRASOUND
MAM169,CONTRAST ENHANCED MAMMOGRAPHY
MAM171,MAMMO - DIGITAL MAMMOGRAM (BOTH BREAST)
MAM174,"3D MAMMO UNILATERAL WITH ULTRASOUND"
MED1871,ULTRASOUND SINGLE ORGAN W/ COLOR FLOW PORTABLE
MHC008,CULTURE AND SENSITIVITY - SPUTUM
MHC009,CULTURE AND SENSITIVITY - GENITAL FLUID
MHC010,CULTURE AND SENSITIVITY - TISSUE
MHC012,CULTURE AND SENSITIVITY - WOUND
MHC017,(PO4) PHOSPHASE OR INORGANIC PHOSPHORUS
MHC018,TOTAL CALCIUM (TCA)
MHC019,AFP (LIVER CA) (W/ DILUTION)
MHC021,CA 125 (OVARIAN CA) (W/ DILUTION)
MHC022,CANCER ANTIGEN 15-3 (BREAST CA) (W/ DILUTION)
MHC023,CA 19-9 (PANCREATIC CA) (W/ DILUTION)
MHC027,(ANTI HCV) HEPATITIS C ANTIBODY
MHC028,HEPA B SCREENING TEST (2+3)
MHC031,C REACTIVE PROTEIN (CRP) (WITH DILUTION)
MHC033,RA / RF (W/ DILUTION)
MHC039,FNAB SMEAR (MAXIMUM 4 SLIDES)
MHC040,GATRIC BIOPSY FOR H - PYLORI
MHC041,ULTRASOUND-ABDOMINAL AORTA
MHC042,XRAY SHOULDER Y SCAPULA
MHC047,XRAY-HAND AP-O 11X14
MHC048,XRAY-HAND AP-O (BILATERAL)
MHC049,XRAY-SHOULDER BILATERAL
MHC050,XRAY KNEE AP BILATERAL
MHC051,ULTRASOUND - KUB W/ PROSTATE
MHC052,ULTRASOUND-ARTERIAL/VENOUS DUPLEX SCAN-UNILATERAL
MHC053,CULTURE AND SENSITIVITY
MHC0532,AEROBICS CULTURE AND SENSITIVITY- URINE
MISC009,CARDIAC MONITOR W/ PULSE OXIMETER USE
MISC010,DIABETIC FOOT DIAGNOSTIC EXAMINATION
MISC011,CARDIAC PULSE OXIMETER
MOD001,QUANTIFERON-TB TEST (QFT)
MRA003,MRA-BRAIN
MRI002,MRI -LUMBAR SPINE
MRI003,MRI-(MRCP) MAGNETIC RESONANCE CHOLANGIOPANCREATOGRAPHY
MRI006,MRI-NECK AND SOFT TISSUES
MRI009,MRI-SHOULDER BILATERAL
MRI010,MRI -THORACIC SPINE
MRI0111,MRI THORACIC SPINE PLAIN
MRI022,MRI-ARM UNILATERAL
MRI023,MRI-BREASTS WITH CONTRAST BILATERAL
MRI028,MRI-GADOLINIUM
MRI031,MRI-HEAD WITH DWI & SWI
MRI035,MRI-KNEE PLAIN (UNILATERAL)
MRI0351,MRI-LEFT KNEE
MRI036,MRI-LEG OR THIGH UNILATERAL
MRI039,MRI-NECK
MRI041223,PLAIN MRI OF RIGHT SHOULDER
MRI045,MRI-SHOULDER UNILATERAL
MRI046,MRI-THORACIC SPINE
MRI04977,MRI-RIGHT SHOULDER PLAIN
MRI051,MRI-WHOLE SPINE
MRI052,MRI-WRIST UNILATERAL
MRI054,MRV
MRI057,MRI-BRAIN/HEAD
MRI059,MRI HEAD/REGULAR
MRI062,MRA NECK
MRI073,MRI -HIP JOINTS/PELVIC W/ CONTRAST
MRI079,MRI -LOWER ABDOMEN/PELVIS W/CONTRAST
MRI081,MRI -LOWER ABDOMEN/PELVIS W/O CONTRAST
MRI09411,MRI HEAD WITH CONTRAST WITH MRA
MRI097,MRI-INTERNAL ACOUSTIC CANAL W/O CONTRAST
MRI1000,MRI/MRA-CRANIAL (PLAIN)
MRI100001,MRA/MRI CRANIAL W/CONTRAST
MRI1020,MRI- MRCP (CHOLANGIOPANCREATOGRAPHY)
MRI102901,MRI-RIGHT KNEE
MRI10452,MRI-BRAIN WITH CONTRAST
MRI105,MRI -LUMBAR SPINE W/O CONTRAST
MRI106,MAGNETIC RESONANCE ANGIOGRAPHY (MRA) /MAGNETIC RESONANCE VENOGRAPHY (MRV) BRAIN
MRI1074,ADRENALS PLAIN
MRI1084,BRAIN PLAIN
MRI1085,MRI-BRAIN SPECTROSCOPY
MRI1088,MRI-BRAIN WITH CONTRAST
MRI1091,CERVICAL SPINE PLAIN
MRI1106,MRI-HAND PLAIN
MRI1110,KNEE PLAIN
MRI1115,MRI-LUMBAR SPINE PLAIN
MRI1116,MRI-LUMBAR SPINE W/ CONTRAST
MRI1118,MRI-MRA BRAIN PLAIN
MRI1119,MRI/MRA BRAIN WITH CONTRAST
MRI1126,MRI-PELVIS PLAIN
MRI1127,MRI-PELVIS WITH CONTRAST
MRI1136,SHOULDER PLAIN
MRI1138,MRI-THORACIC SPINE PLAIN
MRI1140,MRI-THORACOLUMBAR SPINE PLAIN
MRI1146,UPPER ABDOMEN MRCP
MRI1149,WHOLE ABDOMEN PLAIN
MRI1156,MRI-BRAIN
MRI1158,"MRI-GADOVIST , GADOLINIUM CONTRAST5CC"
MRI1164,MRI-MRA HEAD~MRPN-FILM [14X17 (5)]
MRI12102018,MRI-CRANIAL W/ CONTRAST
MRI1211,	 MRI-NECK SOFT TISSUE WITH CONTRAST
MRI122300,MRI-BRAIN W/ CONTRAST
MRI123,MRI-UPPER ABDOMEN WITH CONTRAST
MRI12369741,MRI-LIVER WITH PRIMOVIST
MRI1272,MRI-BRAIN WITH MRV PLAIN
MRI1273,MRI-BRAIN WITH MRV WITH CONTRAST
MRI128,MRI -BRAIN SEIZURE W/ CONTRAST
MRI1293,MRI-HEAD/BRAIN STUDY PLAIN
MRI1295,"MRA- CEREBRAL VESSEL, WITH CONTRAST"
MRI130,MRI - TEMPORAL BONE
MRI132,CT SCAN - LUMBAR SPINE
MRI133,MRI - HEAD/BRAIN (WITH CONTRAST)
MRI134,MRI-HEAD - INTERNAL ACOUSTIC CANAL (PLAIN)
MRI135,MRI - CERVICAL SPINE
MRI136,MRI - CERVICAL SPINE WITH CONTRAST
MRI137,MRI - LUMBOSACRAL WITH CONTRAST
MRI138,MRI - CHEST
MRI13866,MRI SPINE SCREENING SURVEY
MRI140,MRI-KNEE WITH CONTRAST (UNILATERAL)
MRI1402,MRI - MRCP PLAIN/NE
MRI143,MRI - ELBOW WITH CONTRAST
MRI1440,MRI - HEAD W/ STROKE PROTOCOL W/ CONTRAST
MRI147,MRI - IAC (INTERNAL ACOUSTIC CANAL) WITH CONTRAST
MRI149,MRI - LOWER EXTREMITY
MRI153,MRI - FOREARM
MRI154,MRI - HAND
MRI155,MRI-NECK WITH CONTRAST
MRI156,MRI - SPINE CERVICO THORACIC
MRI1578,MRI - KNEE (RIGHT)-MRPN
MRI158,MRI-LUMBAR SPINE CONTRAST
MRI159,MRI - SPINE THORACO LUMBAR CONTRAST
MRI162,MRI - ABDOMEN W/ MRCP (CONTRAST)
MRI163,MRI - ABDOMEN W/ MRCP (PLAIN)
MRI1641,MRV HEAD-MRCT
MRI1642,MRV HEAD~MRCT [14X17 (9)]
MRI1644,MRV HEAD~MRPN-FILM [14X17 ()]
MRI165,MRI - BRAIN (DEMENTIA) PLAIN
MRI1701,MRI LEFT ARM W/O CONTRAST
MRI1705,MRI-LEFT KNEE W/O CONTRAST
MRI17055,MRI-LEFT KNEE
MRI1707,MRI LEFT SHOULDER W/O CONTRAST
MRI1708,MRI-LEFT THIGH W/O CONTRAST
MRI1716,MRI-RIGHT KNEE W/O CONTRAST
MRI1718,MRI RIGHT SHOULDER W/O CONTRAST
MRI1719,MRI-RIGHT THIGH W/O CONTRAST
MRI1721,MRI CHOLANGIOPANCREATOGRAPHY W/O CONTRAST
MRI1725,MRI LEFT ELBOW W/ CONTRAST
MRI17385,MRI-RIGHT KNEE PLAIN
MRI1740,MRI RIGHT SHOULDER W/ CONTRAST
MRI1744,MR CHOLANGIOPANCREATOGRAPHY W/ CONTRAST
MRI1746,MRI CARDIAC W/O CONTRAST
MRI1805,MRI - ( STAT ) THORACIC SPINE PLAIN
MRI1816,MRI FUSION ULTRASOUND TRANSPERINEAL PROSTATE BIOPSY W/ GEN ANESTH KOILIS SYSTEM(NET OF PHIC/PF INC)
MRI1822,MRI-BRAIN WITH MRA (CIRCLE OF WILLIS)
MRI1830,MRI-UPPER ABDOBEN WITH MRCP
MRI1840,MRI - HEAD WITH DWI; SWI W/CONTRAST
MRI1843,MRI-NECK SOFT TISSUE
MRI186,MRI-CARDIAC
MRI1864,MRI - BRAIN/CRANIAL REGULAR
MRI1870,MRI - PELVIC ORTHO
MRI1871,MRI - PROSTATE MULTIPARAMETRIC
MRI1874,MRI-ARM/FOREARM
MRI1875,MRI-THIGH/LEG
MRI1879,MRI-CRANIAL WITH CONTRAST WITH SEIZURE PROTOCOL
MRI1881,MRI WHOLE SPINE PACKAGE (GE)
MRI1900,MRI - BRAIN WITH MRA W/CONTRAST
MRI1909,MRI - ANKLE
MRI1958,MRI SACRUM OR COCCYX W/O CONTRAST
MRI198,MRA-HEAD AND INTRACRANIAL WITH CONTRAST
MRI1997,MRI-BRAIN/CRANIAL/ HEAD WITH CONTRAST
MRI1998,MRI-BRAIN/CRANIAL/HEAD (MRI)
MRI2016,RAD - MRI HEAD - BRAIN W/ MRA/MRV (WITH CONTRAST)
MRI2033,MRI-BRAIN WITH INTRACRANIAL ANGIOGRAPHY WITH CONTRAST
MRI2059,MRI-CERVICAL
MRI2082,MRI+MRA/MRV-BRAIN WITH CONTRAST
MRI212,MRI-MAMMOGRAM
MRI2123,MRI-CRANIAL CP ANGLE CONTRAST
MRI213,MRI-SACRUM
MRI2146,MRI-LUMBOSACRAL PLAIN
MRI215,MRI-CARDIAC FUNCTION AND MORPHOLOGY (PLAIN)
MRI216,MRI-CARDIAC FUNCTION AND MORPHOLOGY (W/ CONTRAST)
MRI2161,WHOLE ABDOMEN (PLAIN)
MRI220,MRI-MYOCARDIAL PERFUSION AND VIABILITY
MRI221452,MRI-SHOULDER PLAIN
MRI2216,MRI-LEG PLAIN.
MRI222,MRI-MYOCARDIAL VIABILITY STUDY
MRI223,MRI-UPPER EXTREMITY
MRI2230,MRI-PROSTATE MULTIPARAMETRIC W/ CONTRAST
MRI226,MRI-BREAST
MRI2329,MRI HEAD SPECTROSCOPY~MRPN-FILM [14X17 (2)]
MRI2334,PLAIN HEAD & MRA~MRPN
MRI2335,PLAIN HEAD & MRA~MRPN-FILM (14X17)
MRI2339,SHOULDER/ARM/FOREARM NON-CONTRAST (MRI)
MRI2341,MRI - SHOULDER /ARM/FOREARM W/ CONTRAST
MRI2343,MRI-BRAIN/HEAD (PLAIN) STAT
MRI240,MRI-SPINE SURVEY
MRI241,MRI-UPPER EXTREMITY (UNILATERAL)
MRI242,MRI-LOWER EXTREMITY (UNILATERAL)
MRI246,MRA-CAROTID NECK WITH CONTRAST
MRI251,MRA-THORACIC AORTA WITH CONTRAST
MRI2545,MRI-PELVIS AND HIP
MRI2546,MRI-LOWER ABDOMEN (PELVIS)
MRI256,MRI-NASOPHARYNX WITH CONTRAST
MRI2561,"MRI-CERVICO THORACO LUMBAR SPINE, WITH CONTRAST"
MRI2582,MRI WITH DWI
MRI2584,MRI-READERS FEE
MRI2613,MRI HEAD WITH DWI AND SWI
MRI2623,MRI HEAD AND ORBITS WITH DWI AND SWI
MRI2651,MRI UPPER ABDOMEN WITH MRCP (DYNAMIC PROTOCOL FOR CONTRAST PROCEDURES)
MRI267,MRI - MRCP WITH CONTRAST
MRI2678,MRI - LOWER ABDOMEN (PELVIS) WITH CONTRAST
MRI2681,MRI - THORACOLUMBAR BUNDLE
MRI26910,MRI-LUMBAR SPINE
MRI26921,MRI-LUMBAR SPINE  WITH SPINE SCREENING SURVEY
MRI2695,MRI HEAD-BRAIN W/ MRA (WITH CONTRAST)
MRI2700,MRI MRCP (PLAIN)
MRI2703,MRI WHOLE ABDOMEN W/ MRCP (WITH CONTRAST)
MRI2704,MRI HEAD-BRAIN W/DWI W/MRA (PLAIN)
MRI2710,MRI-FUSION PROSTATE BIOPSY (UNDER GENERAL ANESTHESIA) PF INCLUDED
MRI2731,MRI BRAIN W/ MRA PLAIN
MRI2737,MRI-ANKLE PLAIN-HMO
MRI2742,MRI-BRAIN PLAIN-(HMO)
MRI2744,MRI-BRAIN W/ CONTRAST-( HMO )
MRI2746,MRI-BRAIN W/ MRA INCLUDING CAROTID W/ CONTRA 1
MRI2748,MRI-CERVICAL SPINE PLAIN-HMO
MRI2749,MRI-CERVICAL SPINE W/ CONTRAST-HMO
MRI275,MRI+MRA/MRV - BRAIN
MRI2774,MRI-LUMBAR SPINE PLAIN-HMO
MRI2784,MRI-PROSTATE/UTERUS PLAIN-HMO
MRI2789,MRI-SHOULDER PLAIN-HMO
MRI2792,MRI-THORACIC SPINE W/ CONTRAST-HMO
MRI280,MRI-THORACIC SPINE WITH CONTRAST
MRI2800,MRI-UPPER ABDOMEN MRCP
MRI281,MRI-WHOLE SPINE WITH CONTRAST
MRI2811,MRI-24 BP MONITORING ONCALL
MRI2812,MRI-24 HOLTER MONITORING ONCALL
MRI2831,MRI - KNEE NON ENHANCED
MRI2832,MRI - BRAIN NON ENHANCED (SEIZURE PROTOCOL)
MRI284,MRI- HIP JOINT - PLAIN
MRI2841,MRI FACIAL
MRI28499,MRI - LEFT HIP PLAIN
MRI2850,MRI-HIP JOINTS ONE SIDE W/ CONTRAST
MRI2857,MRI-ORBITS(PREFERRABLY W/ GAD) W/ CONTRAST
MRI2859,MRI-CARDIAC W/ CONTRAST (VALUE-BASED PACKAGE)
MRI2868,MRI-BRAIN WITH INTRACRANIAL ANGIOGRAPHY
MRI2875,MRI-BRAIN + ORBITS
MRI288,MRI - BRAIN PLAIN WITH MRA - INTRACRANIAL VESSELS
MRI2896,MRI-STROKE W/ BRAIN TOF
MRI290,MRI-HEAD/BRAIN/CRANIAL & MRA INTRACRANIAL PLAIN
MRI2902,MRI-MAGNETIC RESONANCE CORONARY ANGIOGRAPHY (MRCA)
MRI2922,MRI - WHOLE ABDOMEN WITH CONTRAST
MRI2929,MRI-LUMBAR/LUMBOSACRAL PLAIN (EMP)
MRI2948,MRI - CERVICAL SPINE (NON ENHANCED)
MRI2949,MRI-UPPER EXTREMITY W/O CONTRAST (HUMERUS/ARM OR ELBOW OR FOREARM OR HAND OR WRIST)
MRI2952,MRI - SHOULDER (NON ENHANCED)
MRI296,MRI-WHOLE ABDOMEN WITH CONTRAST
MRI3010,"MRI-ABDOMEN, UPPER~MRCT-FILM [14X17 (8)]"
MRI3011,"ABDOMEN, WHOLE~MRPN"
MRI3015,MRI-CERVICAL/THORACIC/LUMBAR~MRCT-FILM [14X17 (6)]
MRI3016,MRI-CERVICAL/THORACIC/LUMBAR~MRPN-FILM [14X17 (3)]
MRI302,MRI - STROKE PROTOCOL WITH MRA
MRI3022,MRI-HEAD~MRPN-FILM [14X17 (6)]
MRI3027,MRI-KNEE (ONE)~MRPN
MRI3030,MRA HEAD~MRCT-FILM [14X17 (8)]
MRI3034,MRI LUMBO-SACRAL~MRPN-FILM [14X17 (2)]
MRI3038,MRI-CERVICAL & LUMBAR~MRCT
MRI304,MRI-HEAD/BRAIN/CRANIAL AND INTRACRANIAL WITH CONTRAST
MRI3043,MRI LUMBO-SACRAL~MRPN-FILM [14X17 (2)]
MRI305,MRI-HEAD/BRAIN/CRANIAL W/O CONTRAST
MRI3050,MRI-MRV HEAD~MRCT
MRI3051,MRI-MRV HEAD~MRCT [14X17 (9)]
MRI3057,MRI-SHOULDER/ELBOW/LEG/PELVIS~MRPN-FILM [14X17 (4)
MRI306,MRI-CARDIAC W/ CONTRAST
MRI3067,MRI-SHOULDER/ELBOW/PELVIS~MRPN
MRI3081,MRI-KNEE (LEFT)~MRPN-FILM [14X17 (4)]
MRI3087,MRI-HEAD-IAC/SELLA/PITUITARY~MRCT
MRI3092,MRI-HEAD
MRI3093,MRI-KNEE
MRI30931,MRI-KNEE (RIGHT) WITHOUT CONTRAST
MRI309322,MRI - LEFT KNEE
MRI3094,MRI-LUMBAR SPINE
MRI3096,MRI-EXTREMITY / JOINT W/O CONTRAST
MRI3181,MRI-BRAIN ANGIORAM WITH VENOGRAM NON ENHANCED
MRI319,MRI HEAD WITH MRA & PF
MRI3201000,MRI-LUMBOSACRAL SPINE WITH WHOLE SPINE SCREENING
MRI322,MRI-CHEST WITH CONTRAST
MRI3239,MRI-LOWER ABDOMEN/PELVIS/COCCYX/SACRO ILIAC
MRI3242,MRI - KNEE WITH CONTRAST (ENHANCED)
MRI326,MRI-BRAIN ATTACK PROTOCOL
MRI3261,MRA-MRV CRANIAL (PLAIN)
MRI3272,MRI-BRAIN WITH INTRACRANIAL AND NECK ANGIOGRAPHY
MRI3286,MRI-BRAIN ANGIOGRAM NON ENHANCED
MRI3318,MRI-THIGH (NON ENHANCED)
MRI332,MRI-CRANIAL PLAIN
MRI3320,MRI-BRAIN CONTRAST ENHANCED (SEIZURE PROTOCOL)
MRI3325,MRI-PELVIS MRI CERVIX PROTOCOL CONTRAST (ENHANCED)
MRI333,MRI-HIP JOINT/PELVIC BONE W/O CONTRAST
MRI3330,MRI-MRCP PROTOCOL CONTRAST (ENHANCED)
MRI3342,MRI-BRAIN CONTRAST ENHANCED (STROKE PROTOCOL)
MRI3349,MRI-BRAIN WITH VENOGRAPHY WITH CONTRAST
MRI335,MRI-KNEE JOINT (PLAIN)
MRI336,MRI - SHOULDER JOINT PLAIN
MRI337,MRI-KNEE JOINTPLAIN
MRI338,MRI UPPER ABDOMEN (LIVER SPECIFIC) WITH CONTRAST
MRI339,MRI-THIGH/ FEMUR UNILATERAL
MRI340,MRI-MAMMOGRAPHY WITH CONTRAST
MRI341,MRI-THORACOLUMBAR SPINE
MRI34100112,MRI-THORACOLUMBAR WITH CONTRAST
MRI348,MRI MRCA-TOF / MRI MAGNETIC RESONANCE CORONARY ANGIOGRAPHY (TIME-OF-FLIGHT)
MRI349,MRI MRCP (CHOLANGIOPANCREATOGRAPHY)
MRI350,MRI PELVIS (GYNECOLOGIC AND COLORECTAL)
MRI3507,MRI-BRAIN W/ INTRACRANIAL AND NECK ANGIOGRAPHY PLUS VENOGRAPHY W/ CONTRAST
MRI352,MRI BREAST W/ CONTRAST
MRI3522,MRI-BREAST
MRI35220,MRI BREAST WITH CONTRAST
MRI355,MRI-CRANIAL WITH MRA
MRI386,MRI-CERVICO-THORACO-LUMBAR AREA (PLAIN)
MRI390,MRI/MRA BRAIN W/ CONTRAST
MRI391,MRI-BRAIN STROKE PROTOCOL
MRI3969,MRI PLAIN LEFT KNEE
MRI398,MRI-BRAIN W/ MRA INCLUDING CAROTID PLAIN
MRI407,MRI-UPPER ABDOMEN WITHMAGNETIC RESONANCE CHOLANGIOPANCREATOGRAPHY (MRCP)
MRI410138,MRI BRAIN W/ CONTRAST AND MRA INTRACRANIAL VESSELS
MRI41585,MRI OF LUMBOSACRAL PLAIN
MRI41933,MRI THORACO-LUMBAR PLAIN
MRI420,MRI THORACO LUMBAR SPINE
MRI4200,MRI-THORACO LUMBAR SPINE PLAIN
MRI428,MRI-HEAD/BRAIN/CRANIAL WITH CONTRAST
MRI430548,MRI THORACO LUMBAR WITH CONTRAST
MRI454,MRI-LUMBOSACRAL SPINE PLAIN
MRI4542,MRI-LUMBOSACRAL
MRI457,MRI-KNEE JOINT PLAIN UNILATERAL
MRI458,MRI-LIVER WITH PRIMOVIST
MRI464,MRI-CRANIAL WITH MRA DWI
MRI468,MRI-CRANIAL WITH MRA CONTRAST
MRI469,MRI-PROSTATE MULTI PARAMETRIC PLAIN
MRI470001,MRI-CRANIAL WITH MRA DWI GRA FLEUR WITH CONTRAST
MRI471,MRI-LUMBOSACRAL SPINE WITH CONTRAST
MRI476,MRI-CERVICAL (PLAIN)
MRI523,MRI-BREAST W/ CONTRAST
MRI52717,MRI SHOULDER PLAIN
MRI527170012,MRI RIGHT SHOULDER PLAIN
MRI534,MRI-LEG WITH CONTRAST (UNILATERAL)
MRI53545687,MRI-CRANIAL CONTRAST WITH ORBITAL CUTS
MRI557,MRI-PROSTATE
MRI5656,MRI - KNEE PLAIN
MRI566,MRI-MRCP MAGNETIC RESONANCE CHOLANGIOPANCREATOGRAPHY
MRI56600,MRCP
MRI56685,MRI PITUITARY GLAND
MRI5701,MRI-RIGHT HIP (PLAIN)
MRI573,MRI-CRANIAL WITH CONTRAST
MRI5821,MRI-CRANIAL WITH DWI
MRI586,MRI-GADOVIST CONTRAST MEDIA
MRI588,MRI WITH MRA
MRI590,UPPER OR LOWER ABDOMEN MRCE
MRI596,MRI-SPINE MRCE (CERVICAL/THORACIC/LUMBAR/SACROCOCCYX)
MRI597,SPINE DUAL MRCE (CERVICO-THORACIC/THORACO-LUMBAR)
MRI602,MRI-HEAD MRCE
MRI607,PELVIS MRCE (PROSTATE/UTERUS/ANORECTAL)
MRI612,MRI - HEAD MRCE WITH ANGIOGRAM
MRI617,CONTRAST MEDIA MRCE
MRI620,MRI-JOINT BILATERAL/COMBINATION MRNE (FOOT/ANKLE/WRIST
MRI624,SPINE MRNE (CERVICAL/THORACIC/LUMBAR/SACROCOCCYX)
MRI628,KNEE MRNE
MRI630,MRI-HEAD MRNE
MRI632,HEAD MRNE WITH MR ANGIOGRAM
MRI638,MRI-SHOULDER/ELBOW/HIP MRNE
MRI639,MRI-MAGNETIC RESONANCE CHOLANGIOPANCREATOGRAPHY (MRCP) PLAIN
MRI63901,MRI-MAGNETIC RESONANCE CHOLANGIOPANCREATOGRAPHY (MRCP) W/ CONTRAST
MRI664,MRI-MAMMOGRAM WITH CONTRAST
MRI6821,MRI LEFT FOREARM
MRI685,MRI- LEFT KNEE W/O CONTRAST
MRI6871,MRI-LUMBAR SACRAL
MRI6877,MRI-LUMBAR
MRI688,MRI- LOWER ABDOMEN W/O CONTRAST
MRI693,MRI - DOTAREM CONTRAST MEDIA A 
MRI6970,MRI PROSTATE PLAIN
MRI6981,MRI-RECTAL WITH CONTRAST
MRI700,MRI - KNEE WITH CONTRAST (UNILATERAL)
MRI703,MRI-EPILEPSY PROTOCOL
MRI7044,MRI-LUMBOSACRAL SPINE
MRI729,MRI BRAIN W/O CONTRAST AND MRA INTRACRANIAL VESSELS
MRI734,MRI- LUMBAR SPINE WITH CONTRAST
MRI741,MRI- WHOLE ABDOMEN WITH MRCP
MRI745,MRI- LUMBAR SPINE W/ CONTRAST
MRI749,MRI- BRAIN WITH MRA (CIRCLE OF WILLIS)
MRI8041,MRI/MRA BRAIN W/ CONTRAST
MRI819,MRI- DOTAREM CONTRAST 20ML
MRI820,HEAD -MRCT
MRI822,MRI- DWI (DIFFUSION WEIGHTED IMAGING)
MRI824,MRI-CERVICAL/THORACIC/LUMBAR~MRPN
MRI826,MRI-PROSTATE WITH CONTRAST
MRI8261,MRI-MULTIPARAMETRIC PROSTATE WITH CONTRAST
MRI843,MRI-THORACOLUMBAR SPINE W/O CONTRAST
MRI858,MRI- HAND UNILATERAL
MRI869,MRI- BRAIN W/ MRA VENOGRAPHY CONTRAST
MRI873,"MRI- ABDOMEN, UPPER~MRCT"
MRI874,"MRI- ABDOMEN, UPPER~MRPN"
MRI875,"MRI- ABDOMEN, UPPER~MRPN-FILM [14X17 (4)]"
MRI882,MRI- CERVICAL/THORACIC/LUMBAR~MRCT
MRI885,MRI- HEAD~MRCT
MRI886,MRI- HEAD~MRCT-FILM [14X17 (9)]
MRI887,MRI- HEAD~MRPN
MRI888,MRI- HEAD~MRPN-FILM [14X17 (6)]
MRI891,MRI-KNEE (ONE)~MRPN-FILM [14X17 (4)]
MRI892,MRI- MRA HEAD~MRCT
MRI893,MRI- MRA HEAD~MRPN
MRI898,MRI ANKLE JOINT~MRPN
MRI9000,MRI CERVICAL PLAIN
MRI9015,MRI-LEFT FOOT
MRI902,MRI CERVICO THORACIC~MRPN
MRI904,MRI FOOT~MRPN
MRI906,MRI LUMBO-SACRAL~MRPN
MRI946,MRI-PELVIC BONE PLAIN
MRIMRA001,MRIMRA-BRAIN WITH CONTRAST
MRIMRA003,MRI/MRA-NECK PLAIN
MRV001,MRV WITH CONTRAST
MY0224,FETAL HEART RATE MONITORING/NON STRESS TEST
MY0780,ELECTROCARDIOGRAM (ECG) / 12-LEAD ECG -  BEDSIDE
MY0786,"ECHOCARDIOGRAPHY 2DECHO DOPPLER, STATION"
MY0790,LOWER PERIPHERAL ARTERIAL DUPLEX SCANNING
MY0795,CAROTID/VERTEBRAL DUPLEX SCANNING
MY07991,ARTERIAL DUPPLEX SCAN LOWER  EXTREMITIES
MY07992,VENOUS DUPPLEX SCAN LOWER  EXTREMITIES
MY0801,ARTERIAL/VENOUS VEIN MAPPING
MYO001,STRESS ECHO W/ PF
MYO003,VENOUS BLOOD GAS
MYO004,"2D ECHO DOPPLER WITH CAROTID"
MYO009,"2D ECHO WITH DOPPLER-STAT"
MYO010,"2D ECHO-STAT"
MYO014,ARTERIAL LOWER EXTREMITIES
MYO016,ARTERIAL UPPER EXTREMITIES
MYO020,ULTRASOUND-ARTERIAL/VENOUS LOWER EXTREMITY (BILATERAL)
MYO0214001,ECG 15 LEAD
MYO025,ECG RHYTHM STRIP (1 LEAD)
MYO031,STRESS ECHO-STAT
MYO03211241251,ECG WITH LONG RHYTHM
MYO0324001,"2D ECHO DOPPLER W/ CONTRAST, ADULT"
MYO0324003,CAROTID AND VERTEBRAL-DOPPLER STUDY
MYO0324006,ECG RHYTHM STRIP
MYO0324009,DUPLEX - LOWER EXTREMETIES BILATERAL VENOUS
MYO0324016,DUPLEX - UPPER EXTREMETIES BILATERAL ARTERY
MYO033,TREADMILL STRESS TEST-STAT
MYO040,VENOUS LOWER EXTREMITIES
MYO042,VENOUS UPPER EXTREMITIES
MYO0426,REST AND STRESS MPI
MYO048,DUPLEX - LOWER EXTREMETIES BILATERAL VENOUS AND ARTERY WITH ABI
MYO051,ARTERIAL DUPLEX UNILATERAL
MYO0512002,"2D ECHO PEDIA PLAIN"
MYO0512005,ECG READING
MYO0512669,"2D ECHO"
MYO052,CAROTID DUPLEX SCAN
MYO054,VENOUS DUPLEX UNILATERAL
MYO057,ECG-PORTABLE
MYO0608001,"12 L ECG (NP PACKAGE)"
MYO0608010,CBG MONITORING
MYO0608036,OXYGEN SATURATION
MYO0613005,VISIPAQUE 100ML
MYO063,NCV NEEDLE EMG (TWO EXTREMITIES)
MYO065,NCV NEEDLE EMG (FOUR EXTREMITIES)
MYO068,"13-LEAD ECG"
MYO0705001,ECG (LONG LEAD)
MYO0705002,PULSE OXIMETRY (SPOT CHECK)
MYO0707001,TC99M SESTAMIBI STRESS/ REST WITH DIPYRIDAMOLE
MYO0707003,TC99M SESTAMIBI STRESS
MYO071,CARDIOPULMONARY EXERCISE TESTING (CPET/CPEX) OR VO2 (OXYGEN CONSUMPTION TEST)
MYO0726001,DOBUTAMINE ECHO
MYO073,MYOCARDIAL PERFUSION SCAN
MYO078,SMART ECG MACHINE
MYO0812001,ECG (HEART STATION) PEDIA
MYO084,MYOCARDIAL PERFUSION IMAGING (REST AND STRESS)
MYO087,"15-LEAD ECG (PEDIA)"
MYO088,ELECTROCARDIOGRAM (EEG) RECORDING UP TO 30 MINS
MYO090,ELECTROCARDIOGRAM (ECG) / 12-LEAD ECG - STAT
MYO092,STRESS ECHO WITH MEDICINE
MYO093,"12 LEAD ECG (LONG LEAD 2)"
MYO095,STRESS TESTING
MYO102,"3D ECHOCARDIOGRAM"
MYO1036,ELECTROCARDIOGRAM (ECG)-CARDIAC STRESS (18 LEAD) (KENZ CARDIO 1210 SUZUKEN SN 1307-2750) NIGHT
MYO1047,ECG-CARDIAC STRESS (KENZ CARDIO 1210 SUZUKEN) SN 1307-2750-DAY
MYO106,HEART RATE VARIABILITY STUDY
MYO111,ELECTROCARDIOGRAM (ECG) W/ READERS FEE
