"cptcode","cptdesc"
LAB923655,THYROGLOBULIN AB.
LAB923657,TIBC.
LAB923663,TOTAL CPK.
LAB923664,TOTAL CREATININE.
LAB923672,TRIGLYCERIDES.
LAB923674,TROPONIN I-  (QUANTITATIVE)
LAB923675,TSH - CLIA
LAB923676,TSH- (IRMA)
LAB923682,URIC ACID.
LAB923683,URINALYSIS (URINE FLOWCYTOMETER).
LAB923684,URINE CS.
LAB923691,VCT SCREENING TEST.
LAB923768,SPECIMEN COLLECTION (WHC)
LAB923769,TRS WITH IOTA ADNEX
LAB923770,TVS WITH IOTA ANNEX
LAB923867,FOR ESCALATION/EVALUATION_MICRO-FA RESPIRATORY PANEL 1.2
LAB923904,SARS-COV-2 NAAT BY TMA (2)
LAB923915,RAPID TEST ANTIGEN
LAB923931,"CORTISOL, HI-PRE (SEND OUT)"
LAB923933,URINE RBC MORPHOLOGY (PHASE CONTRAST)
LAB923935,PIVKA II (SEND OUT)
LAB923936,VIDEOCOLONOSCOPY WITH MONITORING
LAB923960,CPK (HP)
LAB923962,PHOSPORUS (HP)
LAB923971,U-PHOSPHORUS
LAB923986,PLASMA RENIN ACTIVITY (HP)
LAB923988,RANDOM TOTAL PROTEIN / CREATININE RATIO (HP)
LAB9240,CTBT- ADULT (SIMPLATE)
LAB924002,"24HR / RANDOM URINE CALCIUM (HP)"
LAB924003,"24HR / RANDOM URINE SODIUM (HP)"
LAB924014,CHLAMYDIA TRACHOMATIS & NEISSERIA GONORRHEA (CTNG)
LAB924016,H.PYLORI STOOL ANTIGEN (HP)
LAB924024,CBC W/ PLATELET COUNT (APE)
LAB924026,HOMOCYSTEINE (HI-PRE)
LAB924032,SURGICAL HISTOPATH (MEDIUM) / LEVEL 2&3
LAB924033,SURGICAL HISTOPATH (SMALL)
LAB924047,CRP QUANTI (HP)
LAB924048,FERRITIN (HP)
LAB924049,FERRITIN W/ TITER (HP)
LAB924050,FREE PSA + TOTAL PSA (HP)
LAB924053,H. PYLORI ANTIGEN (QUALI)
LAB924054,H. PYLORI IGG (QUANTI)
LAB924057,HBV - DNA (PCR METHOD)
LAB924064,HIV (1&2) (QUALI)
LAB924067,INTACT PARATHYROID HORMONE (IPTH)
LAB924068,PSA TOTAL (HP)
LAB924068,
LAB924070,SALMONELLA IGG/IGM (QUALI)
LAB924071,ANTI-THYROGLOBULIN(CMIA)
LAB924074,TOTAL IGE (HP)
LAB924078,MTB (GENE EXPERT) OTHER XCPT SPUTUM (HP)
LAB924092,TSH RECEPTOR ANTIBODY
LAB924095,INTERFERON GAMMA RELEASE ASSAY (IGRA)/TB QUANTIFERON TEST (SEND OUT)
LAB9241,CLOTTING TIME/BLEEDING TIME (CTBT-PEDIA) -SIMPLATE
LAB924104,ANTI-MULLERIAN (HP)
LAB924135,HPV GENOTYPING (HP)
LAB924136,HISTOPATH (LEVEL 2) (STAT)
LAB924139,"THYROID PANEL (FT3, FT4, TSH), ELISA"
LAB924142,MICRO URINE CULTURE AND SENSITIVITY
LAB924154,ANTI HBC IGG (SEND OUT)
LAB924157,LH (SEND OUT)
LAB924184,URINE PROTEIN/ALBUMIN
LAB9242,DSDNA-ELISA
LAB924206,"CO2, HI-PRE (SEND OUT)"
LAB924217,LEUKODEPLETED PRBC (PACKED RED BLOOD CELL)
LAB924245,TB QUANTIFERON-MBRE
LAB924257,"GENEXPERT (SPUTUM), HI-PRE (SEND OUT)"
LAB924264,"HUMAN EPIDIDYMIS PROTEIN 4 (HE4), HI-PRE (SEND OUT"
LAB924309,"PROCALCITONIN, POCT"
LAB924312,"RENIN, HI-PRE (SEND OUT)"
LAB924329,"URINE ALBUMIN/CREATININE RATIO, HI-PRE (SEND OUT)"
LAB924362,URINE CULTURE AND SENSITIVITY WITH FOSFOMYCIN
LAB924368,"B1,B2 TEST COMP."
LAB924371,LA/SSB
LAB924406,ALKALINE PHOSPHATASE (PLEURAL FLUID)
LAB924554,THYROGLOBULIN (HI-PRE)
LAB924598,BRCA 1 & 2 GENES
LAB9247,PANEL A1 (ALLERGY TEST)
LAB924708,OGTT 2 HOUR
LAB924755,"FINE NEEDLE ASPIRATION BIOPSY (FNAB), PER SLIDE"
LAB924762,"C-REACTIVE PROTEIN, QUANTITATIVE (NYCOCARD)"
LAB924763,"ALT, AST (ALANINE AMINOTRANSFEREASE, ASPARTATE TRANSAMINASE)"
LAB924765,HISTOPATH III
LAB924771,TROPONIN I HIGH SENSITIVE POCT (POINT OF CARE TESTING)
LAB924792,"1 EXTRA LARGE (L2) SPECIMEN"
LAB924795,"2ND HR OGTT"
LAB924807,FECAL IMMUNOCHEMISTRY
LAB924808,FERRITIN (S)
LAB924812,H. PYLORI SERUM ANTIBODIES QUALITATIVE RAPID TEST
LAB924818,LEPTOSPIROSIS IGG RAPID TEST
LAB924837,TSH RECEPTOR ANTIBODY (RIA)
LAB924838,URINE CALCIUM (N)
LAB924839,URINE CHLORIDE (N)
LAB924840,URINE CREATINE (N)
LAB924843,URINE POTASSIUM (N)
LAB924844,URINE SODIUM (N)
LAB924854,TSH (IRMA)
LAB924856,SALINE INFUSION
LAB924861,"ELECTROLYTES (NA,K,CL,CAL)"
LAB924946,"CARDIAC PANEL(TROP I,CKMB,MYOGLOBIN)"
LAB924957,ANTI-THYROGLOBULIN (CMIA)~ISRE
LAB924962,ASO (DILUTION)~ISRE
LAB924967,NT - PRO - BNP~ISRE
LAB924971,COVID-19 RAPID TEST~ISRE
LAB924978,CREATININE ~ CHCB
LAB924981,TSH RECEPTOR ANITBODY~CHRB
LAB924987,(DO NOT USE) COVID 19 RAPID ANTIGEN (NASAL)~ISRE
LAB924999,TB QUANTIFERON~MBRE
LAB925,PRE BUN (PRE-BLOOD UREA NITROGEN)
LAB925008,HEMOGLOBIN ELECTROPHORESIS~HMRE
LAB925074,CMV PCR (SEND-OUT)
LAB925075,CD3/CD 16+CD 56 (NKCELL) IMMUNODEFICIENCY PANEL 4 PACKAGE
LAB925076,MMR SEND OUT
LAB925083,"ANTIBODY TO HEPA B CORE-IGM (ANTI-HBC IGM, HBC AB-IGG)"
LAB925105,CEA WITH DILUTION
LAB925117,CREATININE ( SINGLE ANALYTE )
LAB925142,PROLACTIN CHEMI
LAB925204,SERUM TESTOSTERONE ECLIA (HI-PRE)
LAB925210,"ORAL GLUCOSE TOLERANCE (FBS, 1ST & 2ND HR)"
LAB925212,"ORAL GLUCOSE TOLERANCE (FBS, 2ND HR)"
LAB925266,SARS COV 2 RT-PCR BDO
LAB925367,MDM2 FISH TESTING
LAB925370,ROUTINE FECALYSIS (DFS AND KATO THICK TECHNIQUE)
LAB925372,SPUTUM GENE EXPERT (HI-PRE)
LAB925373,RENAL PACKAGE 4
LAB925374,"ESTIMATED GLOMERULAR FILTRATION RATE (EGFR) KIDNEY, HI-PRE"
LAB925378,OGTT-75 GMS 3 SPECIMENS - 0º1º2º
LAB925380,"RANDOM URINE ELECTROLYTES (NA, K, CL)"
LAB925394,VITAMIN D ( 25-OH ) TOTAL
LAB925402,URINE PREGNANCY TEST (ER)
LAB925405,COMPLETE BLOOD COUNT (CBC) BT CT
LAB925412,C-REACTIVE PROTEIN TITER (OUTPATIENT)
LAB925422,B2 MICROGLOBULIN (SEND OUT)
LAB925449,HS TROPONIN I (QUANTITATIVE)
LAB925496,CELL BLOCK CYTOLOGY (SEND OUT)
LAB925523,CBC/APC (SEND OUT)
LAB925524,ER/PR HER 2 (SEND OUT)
LAB925574,ANTI-HCV IGG-IGM
LAB925590,"PAPSMEAR (LIQUID BASED), WITH READERS FEE"
LAB925605,LAB-SO-LDH (CMC)
LAB925622,LAB-SO-CD4 (TMC MAIN)
LAB925625,LAB-SO-TOTAL IRON BINDING CAPACITY (CMC)
LAB925636,LAB-SO-POTASSIUM IN SERUM
LAB925637,LAB-SO-SODIUM IN SERUM
LAB925645,LAB-SO-24 HOUR PROTEIN (TMC MAIN)
LAB925646,LAB-SO-24 HOUR CREATINE URINE (TMC MAIN)
LAB925648,LAB-SO-MICROALBUMIN/CREATININE RATIO (TMC MAIN)
LAB925649,LAB-SO-ANTI MULLERIAN (TMC MAIN)
LAB925650,LAB-SO-ESTRADIOL (TMC MAIN)
LAB925651,LAB-SO-RUBELLA IGG (TMC MAIN)
LAB925653,LAB-SO-URINE PROTEIN CREATININE RATIO (TMC MAIN)
LAB925655,LAB-SO-FT4 (CMC)
LAB925657,LAB-SO-NT PRO BNP (TMC MAIN)
LAB925662,LAB-SO-CKMB (CMC)
LAB925667,LAB-SO-17HYDROXYPROGESTERONE (HIPRE)
LAB925669,LAB-SO-TIBC(TMC MAIN)
LAB925670,LAB-SO-PLASMA RENIN (TMC MAIN)
LAB925673,LAB-SO-URINE PROTEIN (TMC MAIN)
LAB925680,LAB-SO-ANA IF-TITER (TMC MAIN)
LAB925682,LAB-SO-LE PANEL (TMC MAIN)
LAB9257,PTT MIXING STUDIES
LAB925706,LAB-SO-ANTI THYROGLOBULIN (TMC MAIN)
LAB925707,LAB-SO-FOLATE/FOLIC ACID (TMC MAIN)
LAB925708,LAB-SO-C PEPTIDE (CMC)
LAB925709,LAB-SO-VITAMIN B 12 (TMC MAIN)
LAB925725,LAB-SO-IGE 20 INHALANT ALLERGY PANEL
LAB925732,LAB-SO-VITAMIN C ASCORBIC ACID IN SERUM
LAB925752,"EXCISION BIOPSY OF BREAST-PACKAGE (GROSS OF PHIC, EXCLUSIVE OF PF)"
LAB925797,IGE 20 FOOD ALLERGY PANEL
LAB925799,"SODIUM (NA), POTASSIUM (K), CREATININE"
LAB925803,MTB SENSITIVITY 2ND LINE DRUG
LAB925806,HCG PREGNANCY TEST (QUALITATIVE)
LAB925808,SARS-COV-2 NEUTRALIZING ANTIBODIES (QUANTI)
LAB925811,CROSSMATCHING AND AUTOCONTROL
LAB925842,IGE 20 INHALANT ALLERGY PANEL
LAB925876,VIT B1-THIAMINE IN BLOOD
LAB925879,VIT B6-PYRIDOXINE IN PLASMA
LAB925888,ULTURE & SENSI INDUCED SPUTUM
LAB925892,ALBUMIN (SERUM/FLUIDS)
LAB925893,BIOPSY LARGE PROCESSING FEE
LAB925894,BIOPSY MEDIUM PROCESSING FEE
LAB925895,BIOPSY SMALL PROCESSING FEE
LAB925899,FNA (4) SLIDES
LAB9259,RBS - RANDOM BLOOD SUGAR (USING GLUCOMETER)
LAB925901,FNAB WITH CELL BLOCK (PROCESSING FEE)
LAB925908,PAPSMEAR PROF. FEE
LAB925911,BLOOD STORAGE FEE WB/PRBC
LAB925912,ORAL GLUCOSE SOLUTION FOR OGTT/OGCT 100GMS/20
LAB925914,HBA1C AUTOMATED
LAB925918,CK TOTAL~CHRB
LAB925923,"STOOL EXAM, COMPREHENSIVE"
LAB925924,INTERFERON-GAMMA RELEASE ASSAY (IGRA) QUANTIFERON
LAB925927,"SARS-COV 2 ANTIGEN TEST, QUALITATIVE"
LAB925974,SKIN TEST
LAB926,POST BUN (POST-BLOOD UREA NITROGEN)
LAB9260,RBS - RANDOM BLOOD SUGAR (USING VITROS MACHINE)
LAB926066,METASCAN (POST THERAPY I-131)
LAB926068,AFP (LIVER)
LAB926069,B1B2/ BILIRUBIN (TOTAL & DIRECT)
LAB926114,"BASIC 9 (BUA, CHOLE, CREATININE, FBS, HBA1C, HDL/LDL, SGOT, SGPT, TRIGLYCERIDES)"
LAB926139,BLOOD TYPING (GEL TYPE)
LAB926142,RANDOM URINE ALBUMIN/PROTEIN (QUANTITATIVE)
LAB926192,TOTAL IGE W/ DILUTION ECLIA)
LAB926193,TOTAL PROTEIN A/G RATIO (TPAG)
LAB926199,"6-HOURS NASOPHARYNGEAL SWAB/ OROPHARYNGEAL SWAB"
LAB926218,CD4 (POCT)
LAB926222,COLONOSCOPY (EMSC)
LAB926223,BLOOD UREA NITROGEN (BUN) (PROMO RATE)
LAB926224,CREATININE (SERUM) (PROMO RATE)
LAB926227,"1 IMMUNOCHEMISTRY (TMC)"
LAB926229,ANTI-HAV IGM (HI-PRECISION)
LAB926236,BICARBONATE/CARBON DIOXIDE (HI-PRECISION)
LAB926240,"BREAST PANEL (ER,PR, HER2NEU)-TMC"
LAB926244,CLOSTRIDIUM DIFFICILE (TMC)
LAB926254,GAMMA GLUTAMYL TRANSPEPTIDASE/GGTP (HI-PRECISION)
LAB926269,PANEL C (PACKAGE OF 7-9 IMMUNOCHEMISTRY) -TMC
LAB926275,TBCS (TUBERCULOSIS CULTURE AND SENSITIVITY) (TMC)
LAB926276,TB-PCR (TMC)
LAB926307,DENGUE NSI (QUALITATIVE)
LAB926341,ARTERIAL BLOOD GAS / VENOUS BLOOD GAS (ABG/VBG)
LAB926351,ANA TITER - SEND OUT
LAB926352,ANA TITER - SEND OUT (HP)
LAB926356,ANTI-HBC IGM - SEND OUT (HP)
LAB926358,ANTI-HBE- VIDAS
LAB926364,CHOLESTEROL - SEND OUT
LAB926368,DENGUE IGG/IGM AND DENGUE NS1 ANTIGEN- SEND OUT
LAB926369,DENGUE NS1 (HP)
LAB926373,ESTIMATED GFR KIDNEY - EGFR (HP)
LAB926375,FERRITIN WITH TITER (HP)
LAB926384,HBSAG TITER - VIDAS
LAB926394,IMMUNOGLOBULIN-G (IGG) (HP)
LAB926395,INSULIN (ECLIA) - SEND OUT
LAB926406,MICROALBUMIN/CREA RATIO - SEND OUT (HP)
LAB926407,MTB GENEXPERT (OTHERS) HP
LAB926409,NT-PROBNP / BNP (QUANTITATIVE)
LAB926410,OCCULT BLOOD (FIT) SEND OUT
LAB926421,RPR WITH DILUTION (HP)
LAB926425,SERUM BETA - HCG (HP)
LAB926426,SERUM BICARBONATE - SEND OUT
LAB926428,STAINING FOR PERIPHERAL BLOOD SMEAR
LAB926430,TCK (TOTAL CREATININE KINASE) - SEND OUT
LAB926431,TIBC WITH IRON (HP)
LAB926438,TYPIHIDOT/ SALMONELLA TYPHI
LAB926444,VITAMIN D 25 HYDROXY ECLIA (HP)
LAB926448,VITEK AUTOMATED ID/SENSITIVITY FOR BLOOD CULTURE
LAB926450,VITEK AUTOMATED ID/SENSITIVITY FOR RESPIRATORY CULTURE
LAB926452,VITEK AUTOMATED ID/SENSITIVITY FOR URINE CULTURE
LAB926480,VITAMIN D PROFILE
LAB926482,TB GENEXPERT -SPUTUM
LAB926494,ANTI- DSDNA (SGD)
LAB926502,CYSTATIN C W/EGFR (SEND-OUT)
LAB926517,TRIAGE CARDIO 3
LAB926547,FLUID ANALYSIS (WBC AND DIFFERENTIAL COUNT)
LAB926550,"1.5 ANHYDROGULUCITOL/ 1.5 AG"
LAB926555,HBSAG (SCREENING/QUANTITATIVE) HEPA B
LAB926614,"LAP CHOLE PACKAGE (STANDARD PRIVATE) W/ PF - HMO (INCL. 3 DAYS & 2 NIGHTS STANDARD PRIVATE ROOM, PF OF SURGEON & ANES, MEDICAL SUPPLIES, EQUIPMENT, LABORATORY PATHOLOGY, MEDICINE DURING CONFINEMENT)"
LAB926617,"PROTHROMBINE WITH INTERNATIONAL NORMALIZE RATIO (PT WITH INR), APTT"
LAB926641,"LIVER FAST - SEND OUT (A2M, APO A-1, HPT, BILIRUBIN, GGT, ALT, AST, FBS, TOTAL CHOLESTEROL, TRIGLYCERIDES)"
LAB926645,GENEXPERT MTB RIF ASSAY (SEND OUT)
LAB926650,IGE INHALANT ALLERGY TEST
LAB926651,IGE FOOD ALLERGY TEST
LAB926652,RANDOM CREATININE PROTEIN RATIO
LAB926657,INTERFERON GAMMA RELEASE ASSAY (IGRA) / TB QUANTIFERON
LAB926674,HDL/LDL CHOLESTEROL (EACH)
LAB926678,ANTI HBS TOTAL II VIDAS
LAB926696,ELECTROMYOGRAPHY NERVE CONDUCTION VELOCITY (EMG/NCV) 4 EXTREMITIES
LAB926701,GENEXPERT MTB/ RIF TEST
LAB926711,(ANTI-TPO) ANTI THYROXINE PEROXIDASE - RIA
LAB926716,BODY FLUIDS - LIQUID BASED CYTOLOGY (LBC)
LAB926744,"TYPE AND CROSS LEUKODEPLETION, ANY B- TYPE"
LAB926764,ANA PATTERN
LAB926853,MTB (GENE XPERT) SPUTUM - HI PRE
LAB926875,ADENOSINE DEAMINASE (BODY FLUID) (SEND-OUT)
LAB926877,H. PYLORI IDENTIFICATION
LAB926878,"BODY FLUID/EXUDATE (CELL COUNT, SPECIFIC GRAVITY)"
LAB926879,COVID-19 PANEL OUP
LAB926880,FECAL CALPROTECTIN - QUANTITATIVE ML (SEND OUT)
LAB926885,AMYLASE (PANCREATIC)-UMC
LAB926886,LIPASE-UMC
LAB926901,(PPBS) POST PRANDIAL BLOOD GLUCOSE-SECOND HOUR
LAB926903,IMMUNOLOGY SEND OUT- FISH HES PANEL
LAB927283,URINALYSIS 12 PARAMETERS (AUTOMATED)
LAB927347,"HEPATITIS A,B & C (FULL PANEL)"
LAB927389,"CROSSMATCHING AND LEUKODEPLETION, ANY BLOOD TYPE"
LAB927390,(CBC) COMPLETE BLOOD COUNT WITH PLATELET COUNT (FOR DIALYSIS ONLY)
LAB927392,"OGTT 75GMS (0,1,2)"
LAB927398,DVT SCREENING LOWER EXTREMITIES BILATERAL - VLC
LAB927407,ANTI-TP/RPR/VDRL
LAB927414,JAK 2 V617F MUTATION ASSAY
LAB927416,FREE T3/FREE T4 (FT3/FT4) (ECLIA)
LAB927419,T3/T4 (ECLIA)
LAB927474,TSH 3RD GEN.
LAB927563,THYROXINE (T4) (ELFA)
LAB927564,TRIIODOTHYRONINE (T3) (ELFA)
LAB927565,EPOC BGEM TEST
LAB927568,TB GENE EXPERT (PCR) (HP)
LAB927603,FNAB (SEND OUT)
LAB927624,ACUTE RESPIRATORY INFECTION 7-6 PATHOGENS
LAB927678,HEPATITIS C VIRAL LOAD
LAB927680,PLASMA ALDOSTERONE(RIA)~CHRB
LAB927682,TRANSVAGINAL/TRANSRECTAL~UZOB
LAB927692,TROPONIN I HIGH SENSITIVITY (POCT)
LAB927693,MTB GENEXPERT (PLEURAL FLUID)
LAB927694,SANSURE RNA TESTING
LAB927700,HER 2 DUAL ISH TEST
LAB927702,"BASIC 10 BLOOD CHEMISTRY (BUN, CHOLESTEROL, URIC, CREA, FBS, HDL, LDL, SGOT, SGPT, TRIG)"
LAB927708,T3 (CLIA)
LAB927713,TB CULTURE AND SENSITIVITY C/O SLMC
LAB927714,GENE EXPERT SPUTUM TEST (SEND-OUT)
LAB927718,DENGUE NS1 ANTIGEN RAPID TEST  (STAT)
LAB927725,ANA IFA (ANTINUCLEAR ANTIBODY INDIRECT FLUORESCENT ANTIBODY) SEND OUT
LAB927727,"LAB PACKAGE- SPEC 23 (LIPID PROFILE, FBS, SGOT, SGPT, BUN, CREATININE, URIC ACID, URINALYSIS, MICRO ALBUMIN CREATININE RATIO)"
LAB927734,C-ANCA (PR3)
LAB927739,HISTOPATH TEST J OR PD-L1
LAB927744,P63 IMMUNOHISTOCHEMISTRY (SEND OUT)
LAB927746,VASOPRESSIN/ADH (SEND OUT)
LAB927748,ADA (BODY FLUIDS)
LAB927751,IMMUNOHISTOCHEMISTRY STAIN-CK/6
LAB927752,IMMUNOHISTOCHEMISTRY STAIN-ESTROGEN RECEPTOR
LAB927753,GENEXPERT FOR INTESTINAL TUBERCULOSIS (NKTI SEND OUT)
LAB927756,"BLOOD CHEMISTRY 23 (NA, K, CL, ALKA PHOS, AMYLASE, BUN, CA, CREA, FBS, LDH, LIPID PROFILE (CHOLE, TRIGLY, HDL, LDL, VLDL) PHOSPHORUS, SGPT, SGOT, TOTAL BILI, TOTAL CK, TOTAL PROTEIN, URIC ACID, GGTP)"
LAB927758,"(TSH) THYROID STIMULATING HORMONE, ANTI THYROGLOBULIN AND THYROGLOBULIN (PACKAGE)"
LAB927759,"IMMUNOHISTOCHEMISTRY PANEL (CK-7, CK20, GATA3, TTF1, PAX8)"
LAB927760,ANTI-THYROGLOBULIN (CMIA) SEND-OUT HP
LAB927766,MRSA (METHICILLINE RESISTANT STAPHYLOCOCCUS AUREUS) CULTURE
LAB927767,IMMUNOSTAIN CD15 (SEND OUT)
LAB927768,IMMUNOSTAIN TISSUE PAX5 (SEND OUT)
LAB927769,IMMUNOSTAIN CD30 (SEND OUT)
LAB927771,MISMATCH REPAIR PROTEIN BY IMMUNOHISTOCHEMISTRY (MMR IHC) (S.O)
LAB927772,"IMMUNOSTAIN PANEL 1 (ANTI KERATIN PAN, ANTI-CD3, ANTI-CD20, ANTI-CD45, ANTI-KI67, ANTI-P63, CALRETENIN, CYTOKERATIN 7, CYTOKERATIN 20, EPITHELIAL RELATED ANTIGEN (MOC31), GATA-3, SYNAPTOPHYSIN, TTF-1)"
LAB927774,QUANTIFERON TB-GOLD PLUS ELISA TEST
LAB927785,URINE ALBUMIN/CREA RATIO (SGD)
LAB927790,ANKLE BRACHIAL INDEX W/ MONOFILAMENT
LAB927859,"CHEMISTRY 10 (FBS, BUN, CREATININE, BUA, LIPID PROFILE, SGPT, SGOT)"
LAB927863,COMPREHENSIVE DIABETIC FOOT EXAMINATION
LAB927864,FOR ESCALATION/EVALUATION_FA RESPIRATORY PANEL 2.1 (VIRUSES: ADENOVIRUS; CORONAVIRUS 229E; CORONAVIRUS HKUI; CORONAVIRUS NL63; CORONAVIRUS OC43; MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS MERS-COV;
LAB927867,PCP (PNEUMOCYSTIS JIROVECII PNEUMONIA) - PCR
LAB927877,VIT D-25 OH (GRAMMAN)
LAB927880,ANTI-HBC TOTAL (ECLIA)
LAB927882,PROCALCITONIN (QUANTITATIVE)
LAB927885,VITAMIN D3 (METAMETRICS)
LAB927886,IMMUNOHISTOCHEMICAL STAINING OF BOTH BLOCK WITH P63 AND SMMS
LAB927892,JAK2 MUTATION ASSAY (QUALITATIVE) - SEND OUT
LAB927893,COMPLETE CROSSMATCHING WITH BLOOD TYPING (GEL TYPE)
LAB9279,TC02
LAB927907,SERUM IGE (QUANTITATIVE)
LAB927908,XPERT VOLUNTARY COUNSELLING AND TESTING VIRAL LOAD
LAB927933,"IMMUNOSTAIN PANEL 2 (CD20, CD3, CD10, CD90, CD99)"
LAB927956,PARATHYROID HORMONE RELATED PROTEIN
LAB927957,TB LAM ANTIGEN
LAB927959,FX2 SEND OUT
LAB927966,MAMMAGLOBIN (IMMUNOHISTOCHEMICAL STAIN TO INCLUDE HISTOPATH AND PF)
LAB927969,"CHEMISTRY 8 (SODIUM, POTASSIUM, CHLORIDE, IONIZED CALCIUM, BUN, CREATININE, GLUCOSE, UREA)"
LAB927970,COVID-19 + FLU A&B RAPID ANTIGEN TEST PANEL
LAB927971,"FOR ESCALATION & EVALUATION_RESPIRATORY PANEL, GASTROINTESTINAL (GI) PANEL, CEREBROSPINAL FLUID (CSF) PANEL, SEPSIS PANEL"
LAB927973,COVID-19 + FLU A/B RT-PCR SWAB TEST
LAB927974,"HEMODIALYSIS PACKAGE (ALBUMIN, BUN, CBC, CREATININE, K, NA, RBS, SERUM BICARBONATE, TOTAL CALCIUM)"
LAB927990,"ALLERGY PANEL (RHINITIS) - ADULT [CRAB, SHRIMP, CHICKEN, SQUID, ACACIA POLLEN, COMMON PIGWEED, GRASS MIXED, ANIMAL MOLD MIXED, ANIMAL PROTEIN MIXED, COW'S DUST MITE MIXED]"
LAB927997,MISMATCH REPAIR PROTEIN BY IMMUNOHISTOCHEMISTRY
LAB927999,ABG-PLEURAL FLUID PH
LAB928000,ASCITIC FLUID C/S WITH GRAM STAIN
LAB928016,CROSSMATCHING W/ AB. SCREEN
LAB928027,TC-99M SESTAMIBI STRESS-REST W/ DOBUTAMINE
LAB928072,"FASTING CARDIAC PANEL (CBC, UA, CREA, BUN, FBS, LIPID, SGPT, POTASSIUM)"
LAB928073,"NON-FASTING CARDIAC PANEL (CBC, UA, CREA, BUN, SGOT, SGPT, POTASSIUM)"
LAB928081,COMPATIBILITY TESTING WITH ANTIBODY SCREENING
LAB928082,ANA (ANTINUCLEAR ANTIBODY) TITER - QUANTITATIVE
LAB928086,"COMPREHENSIVE DIABETES PACKAGE A (HBA1C, FBS, CBC)"
LAB928087,INFLUENZA A&B PANEL
LAB928091,"CARDIAC 3 PANEL (BNP, TROPONIN-I,MYOGLOBIN)"
LAB928102,BONE SCAN WITH SPECT
LAB928127,"CARDIAC MARKER (D-DIMER, HS TROPONIN I, PRO BNP AND CKMB)"
LAB928128,"THYROID SCREENING PACKAGE (INCLUSIONS:THYROID ULTRASOUND, CBC, TSH, FT3, FT4)"
LAB928135,OGTT 75 GRAMS
LAB928140,"SOB PANEL 3 (CK-MB, PRO-BNP, TROP I)"
LAB928156,LARGE HISTOPATH (SEND OUT)
LAB928161,"CHEMISTRY 8 (CALCIUM, CO2, CHLORIDE, CREATININE, GLUCOSE, POTASSIUM, SODIUM, UREA NITROGEN)"
LAB928172,"PACKAGE DEAL 2 (PDII - COMBINATION OF BUA,CBC W/ PC, FBS, BUN, CHOLESTEROL, FECALYSIS, RANDOM URINE CREATININE, URINALYSIS)"
LAB928202,CBC WITH PLATELET COUNT & HEMATOCRIT
LAB928203,CK-MB (QUANTITATIVE)
LAB928215,"CARDIAC PANEL (CBC,UA,TRIGLYCERIDES,HDL/LDL,VLDL,BUA,BUN,CREATININE,SGOT/SGPT)"
LAB928227,URINE CULTURE AND SENSITIVITY WITH PHOSPHOMYCIN
LAB928238,"CHEM M-STAT (NA/POTASSIUM, CHLORIDE, TOTAL PROTEIN, ALBUMIN, CLCIUM, TOTAL BILIRUBIN, BUN, GLUCOSE FBS, SGOT, URIC ACID, CHOLESTEROL, SGPT)"
LAB928370,BLOOD CULTURE AND SENSITIVITY WITH ARD (SEND OUT)
LAB928372,APOLIPOPROTEIN B (SEND OUT)
LAB928373,"2D ECHO+LV STRAIN"
LAB928374,"CARDIO 3 PANEL (PACKAGE: TROPONIN I, CK-MB AND PRO BNP)"
LAB928375,"MMR PANEL (MLH1, MSH2, MSH6, PMS2)"
LAB928378,"PACKAGE DEAL 2 (PDII - COMBINATION OF BUA,CBC W/ PC, FBS, BUN, CHOLESTEROL, FECALYSIS, RANDOM URINE CREATININE, URINALYSIS) & LIPID PROFILE (INCLUSIONS TOTAL CHOLESTEROL, HDL, LDL, TRIGLYCERIDES, AND VLDL)"
LAB928391,TB IGRA (INTERFERON GAMMA RELEASE ASSAY) - SEND OUT
LAB9296,MPI-SESTAMIBI/DIPYRIDAMOLE
LAB93,URINE SODIUM
LAB9300,TOTAL T3T4TSH
LAB9301,TOTAL T4TSH
LAB9309,"75 OGTT (0,2)"
LAB931,FWB (AB)
LAB9312,ANTI-CCP-ELISA
LAB9314,VITAMIN D
LAB93140,VITAMIN D ASSAY
LAB9321,COMPLETE DECONGESTIVE THERAPY (PER AREA/ EXTREMITY)
LAB9323,"10% KOH~MBRE"
LAB9324,"2 HR PPBS~CHRB"
LAB9325,"24 HR URINE AMYLASE~CHSU"
LAB9328,ABO TYPING~HMRE
LAB9329,ALBUMIN~CHRB
LAB9330,ALKALINE PHOSPHATASE~CHRB
LAB9332,AMYLASE~CHRB
LAB9333,ANA~ISRE
LAB9334,ANTI HCV (RAPID TEST)~ISRE
LAB9336,ANTI-HBE~ISRE
LAB9337,ANTI-HBS~ISRE
LAB9338,ANTISTREPTOLYSIN O (ASO) (DILUTION)~ISRE
LAB9339,B-HCG (H. MOLE) (DILUTION)~ISRE
LAB9341,BLOOD CULTURE & SENSITIVITY~MBCS
LAB9343,BLOOD URIC ACID (BUA)~CHRB
LAB9344,C3~ISRE
LAB9345,C4~ISRE
LAB9346,CA 125 (OVARIAN CA) (DILUTION)~ISRE
LAB9348,CA 19-9 (PANCREATIC CA) (DILUTION)~ISRE
LAB9350,CALCIUM (CA)~CHSU
LAB9352,CEA (COLORECTAL CA) (DILUTION)~ISRE
LAB9353,CHLORIDE (CL)~CHRB
